XSBH(学生编号),JXJMC(奖学金名称),PDXN(评定学年),PDDJ(评定等级),JXJJZDW(奖学金捐赠单位),JLJB(奖励级别),FFJE(发放金额)
pjxyqxbj422,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj691,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbj419,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbl970,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbl963,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk305,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk818,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj905,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj896,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbj893,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbj885,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj507,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk506,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxrqxbj958,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj736,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj698,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj586,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj968,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk510,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj395,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk107,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj314,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj087,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk398,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj628,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbk335,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj531,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj515,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk218,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk210,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk183,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk159,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj421,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk180,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk663,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjwtqxbj979,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj397,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk537,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk458,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj825,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk013,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk610,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj895,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj624,综合发展奖学金,2021,三等奖学金,,校级,600
pjxuqwbj930,综合发展奖学金,2021,三等奖学金,,校级,600
pjwrqxbj884,综合发展奖学金,2021,一等奖学金,,校级,1500
pjxyqxbj707,综合发展奖学金,2021,三等奖学金,,校级,600
pjxqzxbj973,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbl735,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxxxxbj953,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxwxxbj927,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxwxxbj953,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbl737,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbl736,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxqqxbj967,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxwzxbj996,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxxxxbj957,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk537,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk846,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj692,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj765,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwtqxbj921,单项奖学金,2020,不分等级,单位,校级,600
pjwrqxbj985,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxwxxbj910,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj922,单项奖学金,2020,不分等级,单位,校级,600
pjxsqxbj900,单项奖学金,2020,不分等级,单位,校级,600
pjxsqxbj894,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbl752,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj812,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj814,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk993,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwrqxbj967,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbk895,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk673,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj031,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk328,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj547,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk325,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbk910,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxuqwbj499,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk734,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbl953,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj986,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk656,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk005,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj658,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj772,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj638,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqxbj195,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqxbk962,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxwxxbj918,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxuqwbj733,综合发展奖学金,2021,一等奖学金,,校级,1500
pjxyqxbk649,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqxbk947,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqxbk680,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbj914,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj242,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbk951,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj737,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj570,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbl714,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqxbj750,国家励志奖学金,2021,不分等级,,国家级,5000
pjxyqwbj408,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj379,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj360,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj331,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj328,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj524,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk190,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj648,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk631,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxuqwbj476,单项奖学金,2020,不分等级,单位,校级,600
pjxsqxbj989,单项奖学金,2020,不分等级,单位,校级,600
pjxsqxbj899,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj698,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj130,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxrqxbj978,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj109,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbk683,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk105,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj542,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj659,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj369,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj368,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk902,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj663,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk839,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk076,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbk910,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqxbj418,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk446,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj846,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj910,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj833,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk811,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk810,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk791,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk655,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk578,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk533,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk319,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk318,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqwbj216,国家奖学金,2020,不分等级,,国家级,8000
pjxyqwbk664,国家奖学金,2020,不分等级,,国家级,8000
pjxuqwbj666,国家奖学金,2020,不分等级,,国家级,8000
pjxuqwbj606,国家奖学金,2020,不分等级,,国家级,8000
pjxsqxbj969,国家奖学金,2020,不分等级,,国家级,8000
pjxyqwbj243,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj242,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj166,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj164,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk549,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj583,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj884,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj160,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj154,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj153,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk571,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj877,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj876,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj905,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj282,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj714,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj852,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxsqxbj927,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj798,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj774,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj340,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj312,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj385,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj164,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj121,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj043,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj008,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk980,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk957,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbk836,单项奖学金,2020,不分等级,单位,校级,600
pjxsqxbj884,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj046,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj445,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxuqwbj766,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk950,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj073,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbk834,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk070,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxpqxbj912,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk281,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj255,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj673,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk974,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj464,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj038,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxxxxbj988,综合发展奖学金,2021,三等奖学金,,校级,600
pjxxxxbj997,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbj431,综合发展奖学金,2021,一等奖学金,,校级,1500
pjxyqwbk964,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj678,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj677,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk445,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk444,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbk629,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxuqwbj600,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj392,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj391,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj571,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk505,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk503,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj193,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj687,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj828,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj384,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj803,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj112,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj572,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj825,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj883,单项奖学金,2020,不分等级,单位,校级,600
pjxqqxbj949,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj717,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk147,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk336,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj745,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj904,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjwrqxbj938,单项奖学金,2020,不分等级,单位,校级,600
pjwrqxbj924,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj541,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj568,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj625,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjwtqxbj984,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj517,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj515,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj492,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj477,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj906,单项奖学金,2020,不分等级,单位,校级,600
pjwrqxbj992,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk007,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl970,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl950,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl925,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl912,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl911,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl905,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl893,单项奖学金,2021,不分等级,,校级,600
pjxyqwbk935,单项奖学金,2021,不分等级,,校级,600
pjxyqxbl793,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj851,国家奖学金,2021,不分等级,,国家级,8000
pjwrqxbj925,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj857,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj633,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj837,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj249,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj159,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj435,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj305,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj479,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj444,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj074,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk903,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxrqxbj891,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj485,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk713,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxqqxbj977,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj770,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj608,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj384,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj616,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxsqxbj982,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxqqxbj959,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk830,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk755,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxrqxbj919,单项奖学金,2020,不分等级,单位,校级,600
pjvyzxbj997,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk889,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbl703,单项奖学金,2020,不分等级,单位,校级,600
pjxqqxbj974,综合发展奖学金,2020,特等奖学金,单位,校级,3000
pjxyqwbj430,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj375,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj570,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj552,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjwrqxbj979,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxsqxbj888,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj694,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk264,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk350,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj050,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj209,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj669,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk682,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj850,单项奖学金,2020,不分等级,单位,校级,600
pjxqzxbj989,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj915,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj770,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk634,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbk583,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk472,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj907,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj653,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj918,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk021,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk665,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxwzxbj985,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj192,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj131,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj944,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk872,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj145,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj647,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxqqxbj986,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjwtqxbj965,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj988,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj955,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj930,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxuqwbj881,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj755,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj642,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxuqwbj537,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk076,国家励志奖学金,2021,不分等级,,国家级,5000
pjxuqwbj606,国家奖学金,2021,不分等级,,国家级,8000
pjxyqwbj126,国家奖学金,2021,不分等级,,国家级,8000
pjxuqwbj800,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj950,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj492,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj915,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj778,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj839,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj547,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj721,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj642,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj500,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj584,单项奖学金,2021,不分等级,,校级,600
pjxuqwbj898,单项奖学金,2021,不分等级,,校级,600
pjxyqxbj948,单项奖学金,2021,不分等级,,校级,600
pjxqzxbj980,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbj866,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbj851,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbj283,国家奖学金,2020,不分等级,,国家级,8000
pjxyqxbk236,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk095,国家励志奖学金,2020,不分等级,,国家级,5000
pjxyqxbk799,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj629,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk742,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbk710,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj155,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj154,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj153,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj152,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk674,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj224,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj274,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj584,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj591,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqwbj341,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj779,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj625,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk812,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbk862,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk094,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj400,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk969,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj098,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj560,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk052,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbk806,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj094,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj818,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxxxxbj989,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk936,单项奖学金,2020,不分等级,单位,校级,600
pjxxxxbj963,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbk802,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbl911,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbk694,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj706,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbl907,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbl808,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj932,综合发展奖学金,2021,二等奖学金,,校级,1000
pjxyqwbj849,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqwbk505,综合发展奖学金,2021,三等奖学金,,校级,600
pjxyqxbj864,综合发展奖学金,2021,一等奖学金,,校级,1500
pjxyqwbj673,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj371,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxrqxbj898,单项奖学金,2020,不分等级,单位,校级,600
pjxuqwbj564,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk481,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqwbj101,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk534,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj361,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbj359,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj662,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbk486,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbk474,综合发展奖学金,2020,二等奖学金,单位,校级,1000
