JSMC(竞赛名称),HJJB(获奖级别),HJDJ(获奖等级),HJSJ(获奖时间),XHHGH(学号或工号),NJ(年级),XY(学院),ZY(专业),DNPX(队内排序),ZZ(职责)
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqwbk617,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqwbk664,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqxbj159,2020级,微电子学院,集成电路设计与集成系统,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqwbj479,2020级,计算机科学与技术,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,特等提名奖,2022-05-01 00:00:00,pjxyqxbl876,2020级,通信工程学院,通信工程,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj805,2020,机电工程学院,测控技术与仪器,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj731,2020,,,2,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbk880,2020,通信工程学院,通信工程,3,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbl929,2020,微电子学院,集成电路设计与集成系统,3,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,三等奖,2022-08-01 00:00:00,pjwtqxbj998,2020,光电工程学院,电子科学与技术,3,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbj867,2020,通信工程学院,通信工程,2,学生
2022（第八届）全国大学生统计建模大赛,省级,二等奖,2022-08-01 00:00:00,pjxyqwbj394,2020级,计算机科学与技术学院,软件工程,1,学生
2022（第八届）全国大学生统计建模大赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbj490,2020级,微电子学院,微电子科学与工程,1,学生
2022（第八届）全国大学生统计建模大赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbl687,2021级,电子工程学院,电子信息工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbk947,2020,微电子学院,集成电路设计与集成系统,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbk358,2020,电子工程学院,电子信息工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxuqwbj446,2020,机电工程学院,电气工程及其自动化,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbj630,2020,计算机科学与技术学院,计算机科学与技术,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxuqwbj498,2020,机电工程学院,电气工程及其自动化,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxuqwbj565,2020,机电工程学院,机器人工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbj361,2020,微电子学院,微电子科学与工程,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqwbk885,2020,计算机科学与技术学院,计算机科学与技术学院,1,学生
全国大学生数学建模竞赛,省级,一等奖,2022-11-01 00:00:00,pjxyqxbl704,2020,通信工程学院,通信工程,1,学生
第十一届“挑战杯”西部某省省大学生创业计划竞赛,省级,金奖,2022-06-01 00:00:00,pjxuqwbj583,2020级,机电工程学院,自动化,8,学生
第四届西部某省省大学生工程制图与3D建模大赛,省级,三等奖,2022-05-01 00:00:00,pjxuqwbj679,大三,机电工程学院,机械设计制造及其自动化,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj887,2020,经济与管理学院,管理科学与工程,9,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqwbk572,2020,计算机科学与技术学院,软件工程,10,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj899,2020,经济与管理学院,管理科学与工程类,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxxxxbj930,2020,通信工程学院,通信工程,6,学生
2023中国大学生英语辩论赛（CUDC）华西大区赛,省级,二等奖,2023-10-01 00:00:00,pjxpqxbj916,2020级,外国语学院,翻译,1,学生
2023中国大学生英语辩论赛（CUDC）全国总决赛,国家级,三等奖,2023-11-01 00:00:00,pjxpqxbj916,2020级,外国语学院,翻译,1,学生
第19届全中国日语作文大赛,国家级,三等奖,2023-11-01 00:00:00,pjxpqxbj956,2020级,外国语学院,日语,1,学生
第十一届“挑战杯”西部某省省大学生创业计划竞赛,省级,银奖,2022-06-01 00:00:00,pjxyqxbk474,2020级,通信工程学院,通信工程,3,学生
第十一届“挑战杯”西部某省省大学生创业计划竞赛,省级,银奖,2022-06-01 00:00:00,pjxyqxbk052,2020级,通信工程学院,通信工程,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbj800,2020,通信工程学院,信息工程,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbk159,2020,微电子学院,微电子科学与工程,6,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj920,2020,经管院,管理与科学工程大类,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj897,2020,经济与管理学院,市场营销,12,学生
2021年第14届中国大学生计算机设计大赛西北地区赛,省级,一等奖,2021-05-01 00:00:00,pjwrqxbj979,2020级,机电工程学院,机器人工程,2,学生
第三届西部某省省大学生工程制图与3D建模大赛,省级,一等奖,2021-05-30 00:00:00,pjxyqxbj160,2020级,微电子学院,集成电路设计与集成系统,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqwbk884,2020,计算机科学与技术学院,软件工程,6,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj808,2020,经济与管理学院,管理科学与工程类,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqwbj435,2020,计算机科学与技术学院,计算机科学与技术,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxxxxbj987,2020,通信工程学院,通信工程（中英）,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj893,2020,经济与管理学院,管理科学与工程类,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj904,2020,经济与管理学院,大数据管理与应用,6,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxxxxbj917,2020,通信工程学院,通信工程,8,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj912,2020,经济与管理学院,管理科学与工程类,11,学生
2021年第14届中国大学生计算机设计大赛国赛,国家级,三等奖,2021-07-01 00:00:00,pjwrqxbj979,2020级,机电工程学院,机器人工程,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj979,2020,机电工程学院,机器人工程,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj932,2020,经济与管理学院,管理科学与工程类,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqwbj890,2020,人工智能学院,人工智能,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbj544,2020,通信工程学院,通信工程,10,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxxxxbj988,2020,通信工程学院,通信工程专业,10,学生
第三届西部某省省大学生工程制图与3D建模大赛,省级,二等奖,2021-05-30 00:00:00,pjxyqwbj674,2020级,人工智能学院,智能科学与技术,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj993,2020,先进材料与纳米科技学院,材料类,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxxxxbj987,2020,通信工程学院,通信工程（中英）,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj808,2020,经济与管理学院,管理科学与工程类,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj965,2020,先进材料与纳米科技学院,材料类,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj944,2020,先进材料与纳米科技学院,纳米材料与技术,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj911,2020,先进材料与纳米科技学院,纳米材料与技术,8,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj938,2020,先进材料与纳米科技学院,材料科学与工程,9,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj989,2020,经济与管理学院,管理科学与工程大类,11,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwtqxbj929,2020,竹园一号书院,生物医学工程,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwtqxbj985,2020,生命科学技术学院,生物医学工程类,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwtqxbj983,2020,生命科学技术学院,智能医学工程,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj906,2020,经济与管理学院,管理科学与工程类,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqwbj674,2020,人工智能学院,智能科学与技术,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwtqxbj974,2020,生命科学技术学院,智能医学工程,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxwzxbj997,2020,电子工程学院,电子信息工程,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwtqxbj957,2020,生命科学技术学院,智能医学工程,4,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbl954,2020,电子工程学院,电子信息工程,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj870,2020,机电工程学院,机械设计制造及其自动化,3,学生
2022年英特尔杯大学生电子设计竞赛嵌入式系统专题邀请赛,国家级,三等奖,2022-08-01 00:00:00,pjxyqxbj067,2020,光电工程学院,光电信息科学与工程,1,学生
2022年英特尔杯大学生电子设计竞赛嵌入式系统专题邀请赛,国家级,三等奖,2022-08-01 00:00:00,pjxyqxbj662,2020,微电子学院,集成电路设计与集成系统,1,学生
2022年英特尔杯大学生电子设计竞赛嵌入式系统专题邀请赛,国家级,三等奖,2022-08-01 00:00:00,pjxyqxbk846,2020,电子工程学院,电子信息工程,2,学生
2022年英特尔杯大学生电子设计竞赛嵌入式系统专题邀请赛,国家级,三等奖,2022-08-01 00:00:00,pjxyqxbj277,2020,微电子学院,微电子科学与工程,3,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj904,2020,机电工程学院,自动化,1,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj714,2020,机电工程学院,电气工程及其自动化,2,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,二等奖,2022-08-01 00:00:00,pjxuqwbj515,2020,微电子学院,集成电路设计与集成系统,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbk382,2020,微电子学院,集成电路设计与集成系统,13,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj984,2020,物理与光电工程学院,电子科学与技术,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbk936,2020,光电工程学院,电子科学与技术,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj894,2020,经济与管理学院,信息管理与信息系统,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj851,2020,经济与管理学院,管理科学与工程类,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxuqwbj564,2020,光电工程学院,电子科学与技术,6,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxwxxbj914,2020,电子工程学院,电子信息工程,8,学生
第十四届“高教杯”全国大学生先进成图技术与产品信息建模创新大赛,国家级,二等奖,2021-07-26 00:00:00,pjxyqxbj160,2020级,微电子学院,集成电路设计与集成系统,1,学生
第四届西部某省省大学生工程制图与3D建模大赛,省级,三等奖,2022-05-01 00:00:00,pjxuqwbj708,大三,机电工程学院,机械设计制造及其自动化,6,学生
第四届西部某省省大学生工程制图与3D建模大赛,省级,三等奖,2022-05-01 00:00:00,pjxuqwbj811,大三,机电工程学院,自动化,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj893,2020,经济与管理学院,管理科学与工程类,15,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbj374,2020,空间科学与技术学院,空间科学与技术专业,9,学生
2021年第14届中国大学生计算机设计大赛西北地区赛,省级,二等奖,2021-05-01 00:00:00,pjxuqwbj879,2020级,机电工程学院,自动化类,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj912,2020,经济与管理学院,管理科学与工程类,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqwbj036,2020,竹园一号书院,计算机类,4,学生
第四届西部某省省大学生工程制图与3D建模大赛,省级,三等奖,2022-05-01 00:00:00,pjxuqwbj811,大三,机电工程学院,自动化,1,学生
2021年第14届中国大学生计算机设计大赛西北地区赛,省级,二等奖,2021-05-01 00:00:00,pjxyqxbj333,2020级,电子工程学院,电子信息大类,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxuqwbj606,2020,机电工程学院,自动化类,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbj365,2020,竹园三号书院,电子信息大类招生,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbj223,2020,电子工程学院,电子信息工程,11,学生
西部某省省第八届大学生（TI）杯模拟及模数混合电路应用设计竞赛,省级,三等奖,2022-08-01 00:00:00,pjxuqwbj840,2020,电子工程学院,电子信息工程,1,学生
2022中国大学生程序设计竞赛,国家级,银奖,2022-11-01 00:00:00,pjxyqwbj570,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqwbj820,2020,计算机大类,计算机大类,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqwbj807,2020,计算机科学与技术学院,计算机科学与技术,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj951,2020,先进材料与纳米科技学院,材料类,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj993,2020,先进材料与纳米科技学院,材料类,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj967,2020,先进材料与纳米技术学院,材料类,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwrqxbj938,2020,先进材料与纳米科技学院,材料科学与工程,8,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj893,2020,经济与管理学院,管理科学与工程类,8,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj811,2020,竹园一号书院,管理科学与工程,6,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjwtqxbj929,2020,竹园一号书院,生物医学工程,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjwtqxbj974,2020,生命科学技术学院,智能医学工程,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjwtqxbj985,2020,生命科学技术学院,生物医学工程类,8,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjwtqxbj983,2020,生命科学技术学院,智能医学工程,9,学生
西部某省省第十二届工业工程改善创意竞赛,省级,三等奖,2021-06-01 00:00:00,pjxyqxbj333,2020级,电子工程学院,电磁场与无线技术,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj884,2020,经济与管理学院,管理科学与工程,11,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjwtqxbj929,2020,竹园一号书院,生物医学工程,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxqqxbj991,2020,人文学院,汉语言文学,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbk159,2020,微电子学院,微电子科学与工程,5,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbk633,2020级,空间科学与技术学院,空间科学与技术钱学森实验班,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbj861,2020级,电子工程学院,电子信息工程教改方向,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqwbj368,2020级,计算机科学与技术,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqwbk534,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
西部某省省第十二届工业工程改善创意竞赛,省级,三等奖,2021-06-01 00:00:00,pjxyqxbk957,2020级,微电子学院,集成电路设计与集成系统,4,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbj371,2020级,电子工程学院,电子信息工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqxbl939,2020级,电子工程学院,电磁场与无线技术,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqwbj300,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxpqxbj967,2020级,外国语学院,外国语学院英语类,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxxxxbj933,2020级,通信工程,通信工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxxxxbj997,2020级,通信工程,通信工程,1,学生
国际数学建模竞赛,国际级,一等奖,2022-05-01 00:00:00,pjxyqwbj126,2020级,网络与信息安全学院,信息安全,1,学生
西部某省省第十二届工业工程改善创意竞赛,省级,二等奖,2021-06-01 00:00:00,pjxyqxbk211,2020级,微电子学院,微电子科学与工程,5,学生
西部某省省第十二届工业工程改善创意竞赛,省级,三等奖,2021-06-01 00:00:00,pjwrqxbj979,2020级,机电工程学院,机器人工程,2,学生
“长安杯”第三届电子数据取证竞赛,国家级,三等奖,2021-10-01 00:00:00,pjxyqwbk879,2020,计算机科学与技术学院,计算机科学与技术,1,学生
“长安杯”第三届电子数据取证竞赛,国家级,三等奖,2021-10-01 00:00:00,pjxyqwbj453,2020,人工智能学院,人工智能,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj912,2020,经济与管理学院,管理科学与工程类,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqwbk808,2020,人工智能学院,人工智能,2,学生
第十届大学生机械创新设计大赛西部某省赛区,省级,一等奖,2022-06-01 00:00:00,pjxuqwbj472,2020级,机电工程学院,机械设计制造及其自动化,3,学生
2023年中国大学生工程实践与创新能力大赛,省级,一等奖,2023-10-01 00:00:00,pjxpqxbj978,2021级,经济与管理学院,金融学,4,学生
2023年中国大学生工程实践与创新能力大赛,省级,优秀奖,2023-10-01 00:00:00,pjxuqwbj539,2020级,机电工程学院,机械设计制造及其自动化,2,学生
2023年中国大学生工程实践与创新能力大赛,省级,优秀奖,2023-10-01 00:00:00,pjxuqwbj571,2020级,机电工程学院,机械设计制造及其自动化,3,学生
2023年中国大学生工程实践与创新能力大赛,省级,二等奖,2023-10-01 00:00:00,pjxuqwbj454,2020级,机电工程学院,机械设计制造及其自动化,1,学生
2023年中国大学生工程实践与创新能力大赛,省级,二等奖,2023-10-01 00:00:00,pjxuqwbj491,2020级,机电工程学院,机械设计制造及其自动化,2,学生
“长安杯”第三届电子数据取证竞赛,国家级,三等奖,2021-10-01 00:00:00,pjxyqwbj540,2020,网络与信息安全学院,网络空间安全,1,学生
“长安杯”第三届电子数据取证竞赛,国家级,三等奖,2021-10-01 00:00:00,pjxyqwbj205,2020,网络与信息安全学院,网络空间安全,1,学生
“长安杯”第三届电子数据取证竞赛,国家级,三等奖,2021-10-01 00:00:00,pjxyqwbk885,2020,计算机科学与技术学院,计算机科学与技术,1,学生
“长安杯”第三届电子数据取证竞赛,国家级,三等奖,2021-10-01 00:00:00,pjxyqwbj077,2020,人工智能学院,智能科学与技术,1,学生
西部某省省大学生网络安全技能大赛,省级,一等奖,2021-05-01 00:00:00,pjxyqwbj540,2020,网络与信息安全学院,网络空间安全,1,学生
第十一届“挑战杯”西部某省省大学生创业计划竞赛,省级,铜奖,2022-06-01 00:00:00,pjxyqxbk501,2020级,空间科学与技术学院,空间科学与技术,12,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj778,2020,经济于管理学院,管理科学于工程类,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxxxxbj995,2020,通信工程学院,通信工程专业,10,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxxxxbj966,2020,通信工程学院,通信工程,12,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj909,2020,经济与管理学院,大数据管理与应用,6,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbj151,2020,微电子学院,集成电路设计与集成系统,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbk474,2020,通信工程学院,通信工程,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxyqxbk052,2020,通信工程学院,通信工程,6,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxxxxbj958,2020,通信工程学院,通信工程,7,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqxbk980,2020级,电子工程学院,电子信息工程,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxyqwbj171,2020级,网络与信息安全学院,网络空间安全,1,学生
国际数学建模竞赛,国际级,二等奖,2022-05-01 00:00:00,pjxuqwbj606,2020级,机电工程学院,自动化,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj884,2020,经济与管理学院,管理科学与工程,10,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqwbj527,2020,竹园一号书院,计算机类,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj893,2020,经济与管理学院,管理科学与工程类,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqwbk729,2020,计算机科学与技术学院,软件工程,7,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,三等奖,2022-08-01 00:00:00,pjxsqxbj984,2020,物理与光电工程学院,电子科学与技术,3,学生
