XH,XB(学生性别),NJ(年级),YX(院系),ZY(专业),BJ(班级),BH(班号),TCNF(体测年份),ZF(总分),BZ(备注),BMI(身高/体重),FHL(肺活量),WS(50米),LDTY(立定跳远),ZWTQQ(坐位体前屈),BB(800米),YQ(1000米),YWQZ(仰卧起坐),YTXS(引体向上)
pjxyqwbj002,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011嵌,200301212,2021.0,76.1,正常,174.5/57,4341.0,7.28,244.0,19.6,,3.48,,6.0
pjxyqwbj002,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011嵌,200301212,2022.0,70.1,正常,175.5/59.5,4349.0,7.76,229.0,18.8,,4.14,,6.0
pjxyqwbj002,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011嵌,200301212,2023.0,71.4,正常,174/60,5143.0,7.63,220.0,17.8,,4.18,,1.0
pjxyqxbk391,女,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2020.0,78.1,正常,163/56,2649.0,9.5,202.0,14.7,3.45,,30.0,
pjxyqxbk391,女,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2021.0,78.9,正常,163/52,2579.0,8.82,200.0,10.5,3.43,,36.0,
pjxuqwbj925,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2021.0,63.5,正常,179/78,3300.0,8.36,230.0,13.4,,3.55,,2.0
pjxuqwbj925,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2022.0,53.5,正常,178/79,3900.0,8.2,221.0,12.5,,5.41,,0.0
pjxuqwbj925,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2023.0,46.9,正常,180/94.5,3400.0,8.37,220.0,22.1,,,,0.0
pjxyqwbj538,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2020.0,89.05,正常,173.5/68,4673.0,6.7,250.0,21.0,,3.23,,12.0
pjxyqwbj538,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2021.0,95.5,正常,174/70,4826.0,6.5,248.0,21.4,,3.14,,19.0
pjxyqwbj538,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2022.0,91.1,正常,175/70,4999.0,6.6,245.0,22.3,,3.24,,16.0
pjxyqwbj538,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2023.0,81.2,正常,175/73,5620.0,6.92,240.0,14.5,,4.01,,12.0
pjxyqwbk708,男,2020级,人工智能学院,人工智能,2020031,2020031,2020.0,60.0,免测,181/75.5,4652.0,,,23.4,,,,0.0
pjxyqwbk708,男,2020级,人工智能学院,人工智能,2020031,2020031,2021.0,65.65,正常,181/67,5025.0,7.8,210.0,31.6,,5.3,,0.0
pjxyqwbk708,男,2020级,人工智能学院,人工智能,2020031,2020031,2022.0,64.9,正常,180/69,4915.0,7.9,220.0,29.6,,5.15,,0.0
pjxyqwbk708,男,2020级,人工智能学院,人工智能,2020031,2020031,2023.0,60.0,正常,181/67,5500.0,7.0,193.0,26.2,,6.1,,3.0
pjxyqwbk666,女,2020级,网络与信息安全学院,信息安全,2018012,2018012,2021.0,79.65,正常,165/50.1,3218.0,8.56,165.0,20.8,4.0,,36.0,
pjxyqwbk666,女,2020级,网络与信息安全学院,信息安全,2018012,2018012,2022.0,76.6,正常,163/52,3180.0,9.6,163.0,17.0,3.56,,42.0,
pjxyqwbk666,女,2020级,网络与信息安全学院,信息安全,2018012,2018012,2023.0,44.2,正常,161.5/52.5,4156.0,,,14.8,,,37.0,
pjxyqxbj146,女,2020级,微电子学院,微电子科学与工程,2014012,2014012,2020.0,70.7,正常,164/49.7,2343.0,10.18,162.0,7.4,3.55,,29.0,
pjxyqwbj327,男,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2020.0,69.0,正常,179.5/65,3650.0,7.1,218.0,14.0,,4.03,,1.0
pjxyqwbj327,男,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2021.0,73.0,正常,180/68,4509.0,7.0,225.0,22.4,,4.13,,1.0
pjxyqwbj327,男,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2022.0,72.3,正常,180.1/68,4500.0,7.8,238.0,24.2,,4.03,,1.0
pjxyqwbj327,男,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2023.0,61.65,正常,180.5/70,5091.0,7.71,195.0,19.6,,5.13,,6.0
pjxyqwbj022,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2020.0,71.0,正常,178/60,4350.0,7.58,237.0,10.0,,4.32,,7.0
pjxyqwbj022,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2021.0,61.4,正常,174.5/60,3360.0,7.88,219.0,11.1,,4.53,,5.0
pjxyqwbj022,男,2020级,计算机科学与技术学院,软件工程,2003051W,200301210,2022.0,62.8,正常,178/65,3750.0,7.8,220.0,11.0,,4.48,,0.0
pjxuqwbj996,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2020.0,65.1,正常,180/78,4200.0,7.65,218.0,11.5,,4.16,,0.0
pjxuqwbj996,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2021.0,72.5,正常,180/67,4800.0,7.34,227.0,13.0,,3.57,,0.0
pjxuqwbj996,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2022.0,80.6,正常,180/71,5300.0,7.2,230.0,27.8,,3.33,,7.0
pjxuqwbj996,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2023.0,65.55,正常,177.5/70,4782.0,7.95,220.0,14.3,,4.54,,7.0
pjxyqwbj979,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2020.0,69.7,正常,170/57.5,3100.0,7.4,230.0,23.4,,4.05,,2.0
pjxyqwbj979,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2021.0,64.9,正常,170/61,3500.0,7.8,240.0,18.7,,4.43,,2.0
pjxyqwbj979,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2022.0,63.4,正常,170/60.5,3900.0,7.37,214.0,21.2,,4.53,,1.0
pjxyqwbj979,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2023.0,44.1,正常,170.5/58,4119.0,10.0,204.0,19.7,,5.37,,0.0
pjxyqxbj443,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2020.0,70.2,正常,182/62,3896.0,7.1,239.0,8.6,,4.0,,1.0
pjxyqxbj443,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2021.0,68.4,正常,181.5/69,4061.0,7.1,220.0,6.2,,4.14,,0.0
pjxyqxbj443,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2022.0,68.55,正常,181/72,4756.0,6.9,215.0,16.7,,4.41,,0.0
pjxyqxbj443,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2023.0,65.4,正常,182/65.4,4493.0,7.3,210.0,5.6,,4.48,,6.0
pjxyqwbj625,女,2020级,计算机科学与技术学院,软件工程,2003053嵌,200301211,2021.0,84.2,正常,169/54,3600.0,8.4,175.0,18.0,3.39,,38.0,
pjxyqwbj625,女,2020级,计算机科学与技术学院,软件工程,2003053嵌,200301211,2022.0,76.6,正常,169/54,3080.0,8.9,182.0,10.2,3.53,,28.0,
pjxyqwbj625,女,2020级,计算机科学与技术学院,软件工程,2003053嵌,200301211,2023.0,68.4,正常,168/52,3699.0,9.44,170.0,12.9,5.03,,40.0,
pjxyqxbj465,男,2020级,电子工程学院,电磁场与无线技术,2002061,2002061,2020.0,81.8,正常,175/58,5413.0,6.92,240.0,15.5,,3.45,,8.0
pjxyqxbj465,男,2020级,电子工程学院,电磁场与无线技术,2002061,2002061,2021.0,73.1,正常,175/63,4007.0,6.8,210.0,16.0,,4.23,,6.0
pjxyqxbj465,男,2020级,电子工程学院,电磁场与无线技术,2002061,2002061,2022.0,71.1,正常,176/61,4390.0,7.0,240.0,18.3,,4.3,,6.0
pjxyqxbj465,男,2020级,电子工程学院,电磁场与无线技术,2002061,2002061,2023.0,67.8,正常,175.5/68.5,4586.0,7.3,190.0,14.2,,3.47,,6.0
pjxsqxbj792,女,2020级,经济与管理学院,金融学,2006041,2006041,2020.0,78.8,正常,164/50,2418.0,8.3,173.0,14.8,3.53,,44.0,
pjxsqxbj792,女,2020级,经济与管理学院,金融学,2006041,2006041,2021.0,78.9,正常,164/48,2784.0,8.5,164.0,14.8,3.49,,42.0,
pjxsqxbj792,女,2020级,经济与管理学院,金融学,2006041,2006041,2022.0,34.75,正常,165/48,3216.0,,,13.6,,,,
pjxsqxbj792,女,2020级,经济与管理学院,金融学,2006041,2006041,2023.0,41.3,正常,166/48,3000.0,,,10.4,,,48.0,
pjxyqxbj734,男,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2020.0,71.8,正常,167/63,3420.0,7.42,210.0,12.4,,4.23,,11.0
pjxyqxbj734,男,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2021.0,66.7,正常,165.5/63,3265.0,7.63,220.0,11.6,,4.38,,8.0
pjxyqxbj734,男,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2022.0,68.7,正常,169/64,3421.0,7.67,210.0,13.5,,4.17,,9.0
pjxyqxbj146,女,2020级,微电子学院,微电子科学与工程,2014012,2014012,2021.0,75.3,正常,164/54,2722.0,9.4,162.0,14.6,3.45,,28.0,
pjxyqxbj146,女,2020级,微电子学院,微电子科学与工程,2014012,2014012,2022.0,76.0,正常,165/50,2877.0,9.78,172.0,19.2,3.57,,37.0,
pjxyqxbj146,女,2020级,微电子学院,微电子科学与工程,2014012,2014012,2023.0,69.2,正常,162/51.3,2855.0,9.2,170.0,19.0,4.56,,45.0,
pjxyqwbk813,男,2020级,人工智能学院,智能科学与技术,2020012,2020012,2020.0,67.1,正常,184/80,4196.0,7.8,210.0,9.9,,4.17,,0.0
pjxyqwbk813,男,2020级,人工智能学院,智能科学与技术,2020012,2020012,2021.0,63.2,正常,185/70,3889.0,7.6,210.0,9.0,,4.39,,1.0
pjxyqwbk813,男,2020级,人工智能学院,智能科学与技术,2020012,2020012,2022.0,61.2,正常,185/70,4196.0,8.2,190.0,10.3,,4.25,,0.0
pjxyqwbk813,男,2020级,人工智能学院,智能科学与技术,2020012,2020012,2023.0,52.55,正常,183/67,4665.0,8.5,185.0,27.1,,6.11,,6.0
pjxyqwbj796,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2020.0,88.1,正常,168/59,3494.0,6.7,250.0,20.5,,3.44,,20.0
pjxyqwbj796,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2021.0,96.45,正常,168/63,4930.0,6.83,245.0,26.9,,3.28,,23.0
pjxyqwbj796,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2022.0,89.1,正常,168/63,4930.0,6.99,245.0,26.9,,3.28,,20.0
pjxyqwbj796,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2023.0,83.3,正常,167.5/63,4484.0,6.8,240.0,20.8,,4.0,,16.0
pjxyqwbk866,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2020.0,71.35,正常,175/68,4579.0,7.1,235.0,6.6,,4.04,,1.0
pjxyqwbk866,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2021.0,70.7,正常,176/68,4200.0,7.1,230.0,12.0,,4.05,,1.0
pjxyqwbk866,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2022.0,69.95,正常,177/70,4823.0,7.14,220.0,12.2,,4.15,,5.0
pjxyqwbk866,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2023.0,73.75,正常,176/70,4796.0,7.0,230.0,12.0,,4.57,,16.0
pjxyqwbj453,男,2020级,人工智能学院,人工智能,2020039,2020039,2020.0,70.6,正常,173.5/65,5100.0,8.2,225.0,9.2,,4.12,,3.0
pjxyqwbj453,男,2020级,人工智能学院,人工智能,2020039,2020039,2021.0,72.9,正常,174/65,4200.0,7.8,225.0,15.5,,4.0,,7.0
pjxyqwbj453,男,2020级,人工智能学院,人工智能,2020039,2020039,2022.0,70.3,正常,175/67.5,4200.0,7.8,218.0,21.0,,4.08,,6.0
pjxyqwbj453,男,2020级,人工智能学院,人工智能,2020039,2020039,2023.0,65.4,正常,173/65,4223.0,7.5,220.0,10.4,,5.26,,10.0
pjxyqwbj998,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2020.0,80.1,正常,175/58,4839.0,7.48,240.0,10.0,,3.37,,10.0
pjxyqwbj998,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2021.0,80.65,正常,175/60,4793.0,7.4,235.0,20.1,,3.35,,10.0
pjxyqwbj998,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2022.0,74.0,正常,176/64,4552.0,7.0,233.0,15.0,,3.45,,6.0
pjxyqxbj734,男,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2023.0,58.65,正常,169/65,5045.0,8.0,195.0,8.2,,5.32,,7.0
pjxyqxbj476,男,2020级,通信工程学院,通信工程,2001016,2001016,2020.0,71.4,正常,173.5/62.5,3741.0,7.06,256.0,14.1,,4.06,,1.0
pjxyqxbj476,男,2020级,通信工程学院,通信工程,2001016,2001016,2021.0,74.5,正常,174/62,4206.0,6.9,260.0,20.0,,4.2,,0.0
pjxyqxbj476,男,2020级,通信工程学院,通信工程,2001016,2001016,2022.0,72.75,正常,175.5/63.5,4899.0,7.1,268.0,10.8,,4.06,,0.0
pjxyqxbj476,男,2020级,通信工程学院,通信工程,2001016,2001016,2023.0,58.6,正常,175/61,4922.0,7.8,260.0,13.0,,6.36,,0.0
pjxyqxbk662,男,2020级,电子工程学院,电子信息工程,2002013,2002013,2020.0,73.7,正常,176/63,4267.0,7.1,225.0,15.0,,3.46,,5.0
pjxyqxbk662,男,2020级,电子工程学院,电子信息工程,2002013,2002013,2021.0,75.1,正常,175/67,3941.0,7.21,238.0,17.2,,3.49,,7.0
pjxyqxbk662,男,2020级,电子工程学院,电子信息工程,2002013,2002013,2022.0,69.4,正常,175.5/67.5,3775.0,7.71,224.0,13.6,,3.39,,3.0
pjxyqxbk662,男,2020级,电子工程学院,电子信息工程,2002013,2002013,2023.0,72.6,正常,177/67.5,4404.0,7.3,228.0,15.7,,3.37,,2.0
pjxyqwbj998,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2023.0,73.2,正常,174/73,5403.0,6.7,225.0,9.0,,4.02,,0.0
pjxyqxbk667,男,2020级,物理学院,电波传播与天线,2005061,2005061,2020.0,60.0,正常,170/47.5,3420.0,7.43,234.0,2.2,,4.32,,4.0
pjxyqxbk667,男,2020级,物理学院,电波传播与天线,2005061,2005061,2022.0,72.9,正常,173.3/54,3089.0,7.1,225.0,16.5,,3.45,,10.0
pjxyqxbk667,男,2020级,物理学院,电波传播与天线,2005061,2005061,2021.0,78.1,正常,168/47.5,5148.0,7.06,192.0,15.9,,3.34,,16.0
pjxyqxbk667,男,2020级,物理学院,电波传播与天线,2005061,2005061,2023.0,76.6,正常,168/48,5148.0,7.0,192.0,15.9,,3.34,,16.0
pjxxzxkj991,男,2020级,通信工程学院,通信工程,2001019,2001019,2021.0,73.55,正常,177/72.5,4723.0,7.18,233.0,13.9,,4.1,,6.0
pjxxzxkj991,男,2020级,通信工程学院,通信工程,2001019,2001019,2022.0,74.95,正常,178/71,5040.0,7.79,243.0,20.3,,4.15,,7.0
pjxxzxkj991,男,2020级,通信工程学院,通信工程,2001019,2001019,2023.0,59.35,正常,179/73,4891.0,6.9,220.0,13.7,,7.06,,6.0
pjwtqxbj922,女,2020级,生命科学技术学院,智能医学工程,2015031,2015031,2020.0,79.0,正常,167.5/60.5,2989.0,8.93,193.0,12.7,3.41,,30.0,
pjwtqxbj922,女,2020级,生命科学技术学院,智能医学工程,2015031,2015031,2021.0,79.1,正常,168/57,3007.0,9.46,190.0,14.2,3.42,,35.0,
pjwtqxbj922,女,2020级,生命科学技术学院,智能医学工程,2015031,2015031,2022.0,78.95,正常,167.5/63,3305.0,8.94,172.0,14.1,3.44,,37.0,
pjwtqxbj922,女,2020级,生命科学技术学院,智能医学工程,2015031,2015031,2023.0,74.8,正常,169/62,3710.0,9.94,177.0,10.1,4.24,,27.0,
pjxyqxbj800,女,2020级,通信工程学院,信息工程,2001052,2001052,2020.0,79.1,正常,168/55,2534.0,8.6,180.0,17.7,3.58,,48.0,
pjxyqxbj800,女,2020级,通信工程学院,信息工程,2001052,2001052,2021.0,75.0,正常,166.5/54,2280.0,9.06,180.0,10.5,4.05,,43.0,
pjxyqxbj800,女,2020级,通信工程学院,信息工程,2001052,2001052,2022.0,74.0,正常,167.5/56,2258.0,8.9,182.0,9.1,4.19,,45.0,
pjxyqxbj223,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2020.0,57.4,正常,177/54,3387.0,8.04,190.0,11.2,,4.19,,3.0
pjxyqxbj223,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2021.0,61.3,正常,178/68,3476.0,8.39,200.0,10.6,,4.26,,0.0
pjxyqxbj223,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2022.0,60.5,正常,178/69.5,3377.0,7.7,195.0,9.8,,4.29,,0.0
pjxyqxbj223,男,2020级,电子工程学院,电子信息工程,2002012,2002012,2023.0,44.5,正常,176/72,2614.0,9.2,180.0,20.0,,5.03,,
pjxyqxbl954,男,2020级,电子工程学院,电子信息工程,2002015,2002015,2020.0,72.2,正常,173.5/69,4060.0,7.3,240.0,22.3,,4.11,,1.0
pjxyqxbl954,男,2020级,电子工程学院,电子信息工程,2002015,2002015,2021.0,71.6,正常,174/69,4192.0,7.43,230.0,23.2,,4.14,,2.0
pjxyqxbl954,男,2020级,电子工程学院,电子信息工程,2002015,2002015,2022.0,71.0,正常,173.5/71.5,4092.0,7.4,230.0,24.8,,4.11,,0.0
pjxyqxbl954,男,2020级,电子工程学院,电子信息工程,2002015,2002015,2023.0,73.5,正常,175/70,4513.0,6.91,230.0,24.3,,4.26,,7.0
pjxyqxbj501,男,2021级,光电工程学院,光电信息科学与工程,2105031,2105031,2020.0,58.9,正常,170/61,3563.0,8.2,210.0,6.7,,5.04,,1.0
pjxyqxbj501,男,2021级,光电工程学院,光电信息科学与工程,2105031,2105031,2021.0,64.6,正常,173/60,3839.0,8.12,206.0,14.5,,4.22,,0.0
pjxyqxbj501,男,2021级,光电工程学院,光电信息科学与工程,2105031,2105031,2022.0,64.2,正常,171/70,4572.0,7.5,190.0,15.0,,5.08,,10.0
pjxyqxbj501,男,2021级,光电工程学院,光电信息科学与工程,2105031,2105031,2024.0,49.4,正常,172/79,4034.0,9.4,190.0,8.4,,4.36,,0.0
pjxuqwbj479,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2020.0,64.8,正常,178.2/64.8,4310.0,8.4,225.0,17.1,,4.49,,1.0
pjxuqwbj479,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2021.0,63.0,正常,178/65.5,4100.0,8.5,222.0,9.4,,4.49,,2.0
pjxuqwbj479,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2022.0,65.3,正常,178/69,4098.0,8.2,220.0,7.3,,4.16,,0.0
pjxuqwbj479,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2023.0,52.4,正常,178/72,3535.0,8.5,187.0,4.9,,5.01,,0.0
pjxyqxbj800,女,2020级,通信工程学院,信息工程,2001052,2001052,2023.0,69.0,正常,170/55,3501.0,8.2,185.0,13.3,5.46,,47.0,
pjxuzvbj991,男,2020级,机电工程学院,自动化,2004031,2004031,2020.0,60.8,正常,170/69,3666.0,7.78,182.0,12.4,,4.03,,0.0
pjxuzvbj991,男,2020级,机电工程学院,自动化,2004031,2004031,2021.0,45.6,正常,170/78,2068.0,7.58,190.0,2.5,,4.19,,2.0
pjxuzvbj991,男,2020级,机电工程学院,自动化,2004031,2004031,2022.0,62.0,正常,171/81,3958.0,8.08,200.0,9.6,,4.42,,10.0
pjxuzvbj991,男,2020级,机电工程学院,自动化,2004031,2004031,2023.0,63.3,正常,171/81,4078.0,8.0,220.0,12.4,,4.16,,0.0
pjxyqwbk999,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2020.0,66.6,正常,183/63,4305.0,7.43,217.0,5.0,,4.28,,3.0
pjxyqwbk999,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2021.0,67.4,正常,182/64,4392.0,7.7,210.0,8.0,,4.29,,5.0
pjxyqwbk999,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2022.0,50.7,正常,182.5/66,4332.0,7.89,193.0,-12.5,,5.03,,0.0
pjxyqwbk999,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2023.0,66.15,正常,183.5/64.5,4891.0,7.52,190.0,10.3,,3.54,,0.0
pjxvzxfj987,男,2020级,计算机科学与技术学院,计算机科学与技术（第二学士学位）,22003011,22003011,,,,,,,,,,,,
pjxyqwbj525,男,2020级,人工智能学院,人工智能,2020039,2020039,2022.0,70.5,正常,175/58,4000.0,7.1,223.0,21.0,,4.3,,7.0
pjxyqwbj525,男,2020级,人工智能学院,人工智能,2020039,2020039,2023.0,37.8,正常,176/59,,7.31,,16.6,,,,
pjxyqwbj839,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2020.0,66.6,正常,179.5/60,3387.0,7.3,243.0,1.1,,4.21,,7.0
pjxyqwbj839,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2021.0,74.0,正常,180/60,2850.0,7.2,250.0,8.0,,3.4,,12.0
pjxyqwbj839,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2022.0,71.7,正常,180/65,3400.0,7.4,241.0,12.0,,4.17,,10.0
pjxyqwbj839,男,2020级,网络与信息安全学院,信息安全,2018011,2018011,2023.0,57.4,正常,180/65,4499.0,7.61,230.0,0.7,,5.49,,8.0
pjxyqxbj922,男,2020级,微电子学院,集成电路设计与集成系统,2014028,2014028,2020.0,28.4,正常,,,7.8,212.0,16.7,,,,
pjxyqxbj922,男,2020级,微电子学院,集成电路设计与集成系统,2014028,2014028,2021.0,56.1,正常,177/93,4823.0,7.6,210.0,10.2,,5.3,,1.0
pjxyqxbj922,男,2020级,微电子学院,集成电路设计与集成系统,2014028,2014028,2022.0,48.75,正常,177.6/93.4,4823.0,7.21,,10.3,,,,10.0
pjxyqxbj922,男,2020级,微电子学院,集成电路设计与集成系统,2014028,2014028,2023.0,57.65,正常,177.5/82,4772.0,7.7,260.0,22.0,,,,6.0
pjxxztfj995,女,2020级,通信工程学院,信息工程（第二学士学位）,22001051,22001051,,,,,,,,,,,,
pjxyqxbk391,女,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2022.0,78.55,正常,165/53,3200.0,9.0,200.0,19.0,4.2,,36.0,
pjxyqxbk391,女,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2023.0,62.15,正常,164.5/53.5,3239.0,14.79,200.0,10.5,4.23,,32.0,
pjxyqxbk190,女,2020级,电子工程学院,信息对抗技术,2002031,2002031,2020.0,81.7,正常,162/48,2711.0,8.3,192.0,20.8,3.52,,41.0,
pjxyqxbk190,女,2020级,电子工程学院,信息对抗技术,2002031,2002031,2021.0,78.1,正常,161.5/49.5,2585.0,8.6,185.0,17.8,4.09,,43.0,
pjxyqxbk190,女,2020级,电子工程学院,信息对抗技术,2002031,2002031,2022.0,77.2,正常,164/52,2760.0,8.94,192.0,10.9,4.05,,43.0,
pjxyqxbk190,女,2020级,电子工程学院,信息对抗技术,2002031,2002031,2023.0,62.2,正常,163/54,3053.0,10.24,175.0,8.2,5.07,,43.0,
pjxuqwbj778,男,2020级,机电工程学院,自动化,2004032,2004032,2020.0,70.4,正常,178/69.5,4364.0,7.01,220.0,13.2,,4.09,,2.0
pjxuqwbj778,男,2020级,机电工程学院,自动化,2004032,2004032,2021.0,73.85,正常,180.5/70,4600.0,7.56,225.0,20.6,,4.05,,6.0
pjxuqwbj778,男,2020级,机电工程学院,自动化,2004032,2004032,2022.0,76.1,正常,180.5/72,4500.0,6.7,240.0,23.4,,4.15,,3.0
pjxuqwbj778,男,2020级,机电工程学院,自动化,2004032,2004032,2023.0,64.2,正常,180/74.5,4632.0,7.72,232.0,17.8,,6.11,,16.0
pjxyqwbj149,男,2020级,人工智能学院,人工智能,2020032,2020032,2020.0,53.9,正常,169/80,4217.0,7.52,195.0,14.0,,5.01,,0.0
pjxyqwbj149,男,2020级,人工智能学院,人工智能,2020032,2020032,2021.0,56.4,正常,172/80,4350.0,7.7,190.0,15.0,,5.05,,0.0
pjxyqwbj149,男,2020级,人工智能学院,人工智能,2020032,2020032,2022.0,48.2,正常,172/80.5,4250.0,8.0,185.0,17.0,,5.53,,2.0
pjxyqwbj149,男,2020级,人工智能学院,人工智能,2020032,2020032,2023.0,67.4,正常,170/65,5752.0,7.2,190.0,10.7,,4.26,,6.0
pjxuqwbj694,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2020.0,67.3,正常,170/68,3546.0,7.46,238.0,9.2,,4.13,,1.0
pjxuqwbj694,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2021.0,73.2,正常,168/64,4280.0,7.3,240.0,19.6,,3.55,,2.0
pjxuqwbj694,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2022.0,70.8,正常,169/67,4435.0,7.3,246.0,18.2,,4.2,,0.0
pjxuqwbj694,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2023.0,61.4,正常,169.5/69.1,4541.0,8.15,240.0,7.5,,4.42,,1.0
pjxuqwbj624,男,2020级,机电工程学院,自动化,2004032,2004032,2020.0,72.7,正常,185/67,3977.0,6.89,250.0,14.6,,4.17,,3.0
pjxuqwbj624,男,2020级,机电工程学院,自动化,2004032,2004032,2021.0,74.5,正常,185.5/71,3820.0,6.8,268.0,17.2,,4.27,,2.0
pjxuqwbj624,男,2020级,机电工程学院,自动化,2004032,2004032,2022.0,82.15,正常,185.2/76.1,4656.0,6.9,240.0,17.9,,4.15,,18.0
pjxuqwbj624,男,2020级,机电工程学院,自动化,2004032,2004032,2023.0,70.4,正常,185.5/76.7,4248.0,7.0,235.0,16.0,,4.14,,0.0
pjxyqxbk535,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2020.0,52.7,正常,180/62.5,3560.0,8.7,210.0,-0.6,,4.55,,0.0
pjxyqxbk535,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2021.0,60.5,正常,181/62,3956.0,8.1,214.0,6.3,,5.03,,1.0
pjxyqxbk535,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2022.0,60.1,正常,181/62.5,4280.0,8.4,215.0,5.5,,4.56,,1.0
pjxyqxbk535,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2023.0,73.85,正常,178.5/61,5071.0,8.28,210.0,14.9,,3.23,,0.0
pjxqqxbj983,女,2020级,人文学院,汉语言文学,2008031,2008031,2020.0,77.5,正常,168.5/52,2789.0,8.27,170.0,13.5,4.04,,34.0,
pjxqqxbj983,女,2020级,人文学院,汉语言文学,2008031,2008031,2021.0,77.4,正常,167.5/52,2633.0,8.69,177.0,14.6,4.01,,39.0,
pjxqqxbj983,女,2020级,人文学院,汉语言文学,2008031,2008031,2022.0,74.1,正常,169/55,2605.0,9.46,175.0,19.6,4.12,,31.0,
pjxqqxbj983,女,2020级,人文学院,汉语言文学,2008031,2008031,2023.0,60.2,正常,168.5/52.5,3117.0,9.0,150.0,13.9,5.47,,35.0,
pjxyqwbj069,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2020.0,68.2,正常,171/53.5,2904.0,6.95,225.0,13.2,,3.52,,5.0
pjxyqwbj069,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2021.0,78.9,正常,171/58,4307.0,6.7,220.0,19.6,,3.56,,6.0
