XH(学生学号),XB(学生性别),NJ(年级),YX(院系),ZY(专业),BJ(班级),BH(班号),XQ(学期),ZKC(总课程),KC(课程),SKSJ(上课时间)
pjxyqxbl916,男,2020级,电子工程学院,遥感科学与技术,2002071,2002071,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一78
pjxsqxbj894,男,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期四34
pjxpqxbj927,女,2020级,外国语学院,日语,2009021,2009021,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期二78
pjxyqxbk974,女,2020级,通信工程学院,通信工程,2001017,2001017,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期一78
pjxuqwbj811,男,2020级,机电工程学院,自动化,2004031,2004031,2022-2023学年第1学期,体育1,赛艇俱乐部,星期三56
pjxyqxbl746,男,2020级,电子工程学院,信息对抗技术,2002031,2002031,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期二56
pjxyqxbj645,男,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,排球俱乐部（中级班）,星期三56
pjxpqxbj963,女,2020级,外国语学院,英语,2009011,2009011,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期二78
pjxrqxbj983,男,2020级,数学与统计学院,数学与应用数学,2007019,2007019,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期四34
pjxuqwbj609,男,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2022-2023学年第1学期,体育1,乒乓球俱乐部（高级班）,星期三78
pjxyqwbk679,男,2020级,计算机科学与技术学院,软件工程,2003052云,200301221,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期三56
pjxyqwbk679,男,2020级,计算机科学与技术学院,软件工程,2003052云,200301221,2022-2023学年第1学期,体育1,重修课程,周六12节
pjxrqxbj939,女,2020级,数学与统计学院,数学与应用数学,2007011,2007011,2022-2023学年第1学期,体育1,健美操俱乐部,星期二56
pjxyqxbj848,男,2020级,电子工程学院,电子信息工程,2002019,2002019,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期四78
pjxyqwbj251,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012数,200301218,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期三78
pjxwzxkj996,男,2020级,电子工程学院,电子信息工程,2002019,2002019,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期四78
pjxyqxbj581,男,2020级,微电子学院,集成电路设计与集成系统,2014021,2014021,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期四56
pjxyqwbk865,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期四56
pjxyqxbk519,男,2020级,通信工程学院,通信工程,2001013,2001013,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一34
pjxyqwbk770,男,2020级,计算机科学与技术学院,物联网工程,2003041,2003041,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期二56
pjxyqwbj701,男,2021级,计算机科学与技术学院,物联网工程,2103041,2103041,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期二56
pjxyqwbj701,男,2021级,计算机科学与技术学院,物联网工程,2103041,2103041,2023-2024学年第1学期,体育1,排球俱乐部（中级班）,星期一34
pjxyqxbl891,男,2020级,电子工程学院,电子信息工程,2002015,2002015,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二56
pjxyqwbk793,男,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二78
pjxyqxbj832,男,2020级,电子工程学院,遥感科学与技术,2002071,2002071,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一78
pjxyqwbj225,女,2020级,计算机科学与技术学院,计算机科学与技术,2003011网,200301206,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期二78
pjxyqxbk166,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一78
pjxyqwbj807,女,2020级,计算机科学与技术学院,计算机科学与技术,2003011网,200301206,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期二78
pjxyqxbk495,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2021-2022学年第1学期,体育1,重修课程,周六34节
pjxyqxbk495,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期四78
pjxxxxbj921,女,2020级,通信工程学院,通信工程,2001911,2001911,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期一78
pjxyqxbl984,男,2020级,微电子学院,集成电路设计与集成系统,2014021,2014021,2022-2023学年第1学期,体育1,乒乓球俱乐部（高级班）,星期四56
pjxsqxbj881,男,2020级,经济与管理学院,工程管理,2006111,2006111,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二56
pjxpqxbj962,女,2020级,外国语学院,英语,2009011,2009011,2022-2023学年第1学期,体育1,体育舞蹈俱乐部（初级会员）,星期二78
pjxyqxbj915,男,2020级,通信工程学院,通信工程,2001013,2001013,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一34
pjxyqxbk442,男,2020级,光电工程学院,电子科学与技术,2005019,2005019,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期四34
pjxyqxbj885,男,2020级,电子工程学院,电子信息工程,2002018,2002018,2022-2023学年第1学期,体育1,健身健美俱乐部（中级班）,星期二78
pjxyqxbl975,男,2020级,微电子学院,集成电路设计与集成系统,2014022,2014022,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期二78
pjxwxxbj908,男,2020级,电子工程学院,电子信息工程,2002911,2002911,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期二34
pjxyqwbj662,男,2020级,计算机科学与技术学院,计算机科学与技术,2003013软,200301219,2022-2023学年第1学期,体育1,健身健美俱乐部（中级班）,星期二78
pjxyqwbk624,女,2021级,计算机科学与技术学院,软件工程,2103053,2103053,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一34
pjxyqwbk624,女,2021级,计算机科学与技术学院,软件工程,2103053,2103053,2023-2024学年第1学期,体育1,网球俱乐部（初级班）,星期二34
pjxxxxbj933,男,2020级,通信工程学院,通信工程,2001911,2001911,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期一78
pjxyqxbj807,女,2020级,微电子学院,集成电路设计与集成系统,2014021,2014021,2022-2023学年第1学期,体育1,健美操俱乐部,星期四56
pjxwxxbj963,男,2020级,电子工程学院,电子信息工程,2002911,2002911,2022-2023学年第1学期,体育1,赛艇俱乐部,星期二34
pjxsqxbj779,女,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2022-2023学年第1学期,体育1,健美操俱乐部,星期四34
pjxyqwbj322,男,2020级,计算机科学与技术学院,计算机科学与技术,2003013数,200301205,2022-2023学年第1学期,体育1,篮球俱乐部（中级班）,星期二78
pjxwzxbj990,女,2020级,电子工程学院,电子信息工程,2002015,2002015,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期二56
pjxyqwbk951,男,2021级,计算机科学与技术学院,软件工程,2103053,2103053,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期三56
pjxuqwbj606,女,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期三78
pjxyqwbj772,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012数,200301218,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二56
pjxyqxbl910,男,2020级,通信工程学院,信息工程,2001051,2001051,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期一56
pjxyqxbk993,男,2020级,通信工程学院,通信工程,2001017,2001017,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期一78
pjxpqxbj972,女,2020级,外国语学院,英语,2009011,2009011,2022-2023学年第1学期,体育1,健美操俱乐部,星期二78
pjxyqwbj780,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四78
pjxuqwbj883,男,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一56
pjxyqxbl807,男,2020级,光电工程学院,光电信息科学与工程,2005031,2005031,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一78
pjxyqxbj692,女,2020级,通信工程学院,通信工程,2001012,2001012,2022-2023学年第1学期,体育1,健美操俱乐部,星期一34
pjxsqxbj807,女,2020级,经济与管理学院,金融学,2006041,2006041,2022-2023学年第1学期,体育1,健美操俱乐部,星期三78
pjxyqxbk011,男,2020级,微电子学院,集成电路设计与集成系统,2014022,2014022,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二78
pjxyqxbk377,女,2020级,物理学院,电子信息科学与技术,2005052,2005052,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期四78
pjxyqxbj370,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期一78
pjxyqxbk929,女,2020级,通信工程学院,通信工程,2001018,2001018,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期一78
pjxqqxbj961,女,2020级,人文学院,汉语言文学,2008031,2008031,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期一56
pjxyqwbj109,女,2020级,计算机科学与技术学院,计算机科学与技术,2003011嵌,200301212,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期二78
pjxwxxbj993,男,2020级,电子工程学院,电子信息工程,2002911,2002911,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期二34
pjxyqxbk048,女,2020级,通信工程学院,空间信息与数字技术,2001041,2001041,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期一34
pjxyqxbk885,女,2020级,微电子学院,微电子科学与工程,2014013,2014013,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四78
pjxuqwbj858,女,2020级,机电工程学院,测控技术与仪器,2004051,2004051,2022-2023学年第1学期,体育1,排球俱乐部（初级班）,星期一56
pjwrqxbj949,男,2020级,先进材料与纳米科技学院,材料科学与工程,2017011,2017011,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期四56
pjxyqxbl751,女,2020级,通信工程学院,通信工程,2001017,2001017,2022-2023学年第1学期,体育1,排球俱乐部（中级班）,星期一78
pjxyqxbj914,男,2020级,微电子学院,集成电路设计与集成系统,2014028,2014028,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四56
pjxyqwbj276,男,2020级,网络与信息安全学院,网络工程,2018021,2018021,2021-2022学年第1学期,体育1,重修课程,周六34节
pjxyqwbj822,女,2020级,计算机科学与技术学院,软件工程,2003052云,200301221,2022-2023学年第1学期,体育1,武术俱乐部（初级剑术）,星期三56
pjxxxxbj987,男,2020级,通信工程学院,通信工程,2001911,2001911,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期一78
pjxyqxbk489,女,2020级,微电子学院,微电子科学与工程,2014011,2014011,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期二78
pjxyqxbj452,男,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期三56
pjxyqxbk718,男,2020级,物理学院,电子信息科学与技术,2005051,2005051,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一78
pjxyqxbk046,男,2020级,物理学院,应用物理学,2005049,2005049,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四78
pjxpqxbj997,男,2020级,外国语学院,英语,2009011,2009011,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期二78
pjxyqwbj171,女,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一34
pjxuqwbj903,男,2020级,机电工程学院,机器人工程,2004071,2004071,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期三78
pjwrqxbj929,男,2020级,机电工程学院,电子封装技术,2004061,2004061,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期四34
pjxyqxbk090,男,2020级,微电子学院,集成电路设计与集成系统,2014022,2014022,2022-2023学年第1学期,体育1,篮球俱乐部（中级班）,星期二78
pjxsqxbj771,女,2020级,经济与管理学院,工程管理,2006111,2006111,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期二56
pjxyqwbk956,男,2020级,网络与信息安全学院,网络空间安全,2018039,2018039,2022-2023学年第1学期,体育1,武术俱乐部（初级剑术）,星期三56
pjxtztbj986,男,2020级,物理学院,电子信息科学与技术,2005051,2005051,2022-2023学年第1学期,体育1,足球俱乐部（中级班）,星期一78
pjxyqxbl779,男,2020级,空间科学与技术学院,飞行器设计与工程,2016031,2016031,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二78
pjxuqwbj953,男,2020级,机电工程学院,机械设计制造及其自动化,2004011,2004011,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四34
pjxuqwbj643,男,2020级,机电工程学院,自动化,2004032,2004032,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四34
pjxyqxbk679,男,2020级,通信工程学院,通信工程,2001011,2001011,2022-2023学年第1学期,体育1,排球俱乐部（初级班）,星期一34
pjxyqxbk743,男,2020级,电子工程学院,电磁场与无线技术,2002061,2002061,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二56
pjxyqwbj785,男,2021级,人工智能学院,人工智能,2120032,2120032,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四78
pjxyqwbj331,男,2020级,人工智能学院,人工智能,2020032,2020032,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期四78
pjxyqwbj737,男,2020级,计算机科学与技术学院,计算机科学与技术,2003013软,200301219,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二78
pjxxzxkj983,男,2020级,通信工程学院,通信工程,2001019,2001019,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期一56
pjxyqxbj092,男,2020级,空间科学与技术学院,探测制导与控制技术,2016011,2016011,2022-2023学年第1学期,体育1,足球俱乐部（中级班）,星期四78
pjxyqxbj784,男,2020级,电子工程学院,电子信息工程,2002011,2002011,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一78
pjxyqwbj924,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011软,200301226,2021-2022学年第1学期,体育1,重修课程,周六34节
pjxyqwbj924,男,2020级,计算机科学与技术学院,计算机科学与技术,2003011软,200301226,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二78
pjxuqwbj588,男,2020级,机电工程学院,机械设计制造及其自动化,2004012,2004012,2022-2023学年第1学期,体育1,篮球俱乐部（中级班）,星期四34
pjxyqwbk594,男,2020级,计算机科学与技术学院,软件工程,2003052W,200301208,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期三56
pjxyqxbk552,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四78
pjxpqxbj944,女,2020级,外国语学院,英语,2009011,2009011,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二78
pjxyqwbj174,男,2021级,计算机科学与技术学院,软件工程,2103052,2103052,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期三56
pjxyqwbj174,男,2021级,计算机科学与技术学院,软件工程,2103052,2103052,2022-2023学年第1学期,体育1,重修课程,周六34节
pjxyqwbj174,男,2021级,计算机科学与技术学院,软件工程,2103052,2103052,2022-2023学年第1学期,体育1,重修课程,周六12节
pjxyqxbk264,女,2020级,电子工程学院,电子信息工程,2002014,2002014,2022-2023学年第1学期,体育1,体态训练俱乐部（初级会员）,星期二56
pjxyqwbj033,男,2020级,计算机科学与技术学院,计算机科学与技术,2003018,2003018,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期二78
pjxyqxbj577,男,2020级,电子工程学院,电子信息工程,2002011,2002011,2022-2023学年第1学期,体育1,足球俱乐部（中级班）,星期一78
pjxsqxbj986,男,2020级,经济与管理学院,人力资源管理,2006071,2006071,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二56
pjxsqxbj946,男,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2022-2023学年第1学期,体育1,体态训练俱乐部（初级会员）,星期四34
pjxuqwbj806,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期三78
pjxyqxbk236,女,2020级,电子工程学院,电子信息工程,2002014,2002014,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二56
pjxyqxbj221,男,2020级,物理学院,电子信息科学与技术,2005051,2005051,2021-2022学年第1学期,体育1,重修课程,周六34节
pjxyqxbj221,男,2020级,物理学院,电子信息科学与技术,2005051,2005051,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期一78
pjxyqxbj851,女,2020级,微电子学院,集成电路设计与集成系统,2014021,2014021,2022-2023学年第1学期,体育1,健美操俱乐部,星期四56
pjxyqxbk713,男,2020级,通信工程学院,通信工程,2001015,2001015,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期一56
pjxyqxbj957,男,2020级,微电子学院,集成电路设计与集成系统,2014021,2014021,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四56
pjxyqwbk971,男,2020级,网络与信息安全学院,信息安全,2018012,2018012,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四56
pjwrqxbj955,女,2020级,先进材料与纳米科技学院,纳米材料与技术,2017031,2017031,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期四56
pjxyqwbj631,男,2020级,计算机科学与技术学院,物联网工程,2003041,2003041,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二56
pjxxzxkj995,男,2020级,通信工程学院,通信工程,2001019,2001019,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期一56
pjxsqxbj908,男,2020级,经济与管理学院,金融学,2006041,2006041,2022-2023学年第1学期,体育1,武术俱乐部（初级剑术）,星期三78
pjxsqxbj922,男,2020级,经济与管理学院,电子商务,2006051,2006051,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期四56
pjxyqxbl943,男,2020级,空间科学与技术学院,空间科学与技术,2016021,2016021,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四34
pjxuqwbj734,女,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期三78
pjxyqxbj569,男,2020级,微电子学院,微电子科学与工程,2014013,2014013,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期四78
pjxyqxbj120,男,2020级,通信工程学院,通信工程,2001017,2001017,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一78
pjxyqwbj791,男,2020级,计算机科学与技术学院,软件工程,2003051云,200301222,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期三56
pjwtqxbj960,女,2020级,生命科学技术学院,生物医学工程,2015011,2015011,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一34
pjxyqxbl884,男,2020级,光电工程学院,光电信息科学与工程,2005031,2005031,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期一78
pjwrqxbj965,女,2020级,先进材料与纳米科技学院,材料科学与工程,2017011,2017011,2022-2023学年第1学期,体育1,健美操俱乐部,星期四56
pjxyqwbj242,男,2020级,计算机科学与技术学院,计算机科学与技术,2003014网,200301209,2022-2023学年第1学期,体育1,网球俱乐部（中级班）,星期二78
pjxyqxbj548,女,2020级,电子工程学院,电子信息工程,2002011,2002011,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期一78
pjxyqxbk903,男,2020级,通信工程学院,通信工程,2001012,2001012,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期一34
pjxuqwbj879,女,2020级,机电工程学院,自动化,2004031,2004031,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期三56
pjxyqxbk072,女,2020级,电子工程学院,信息对抗技术,2002031,2002031,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期二56
pjxsqxbj970,男,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2022-2023学年第1学期,体育1,篮球俱乐部（高级班）,星期四34
pjxyqxbj985,男,2020级,物理学院,电子信息科学与技术,2005051,2005051,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期一78
pjxyqwbj369,女,2020级,计算机科学与技术学院,计算机科学与技术,2003012网,200301223,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期二56
pjxuqwbj831,男,2020级,微电子学院,集成电路设计与集成系统,2014028,2014028,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期四56
pjxyqwbj734,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012数,200301218,2022-2023学年第1学期,体育1,篮球俱乐部（中级班）,星期二56
pjxyqxbj150,女,2020级,通信工程学院,通信工程,2001016,2001016,2022-2023学年第1学期,体育1,健美操俱乐部,星期一56
pjxyqwbj660,女,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期四56
pjxyqwbj122,女,2020级,网络与信息安全学院,网络工程,2018021,2018021,2022-2023学年第1学期,体育1,体态训练俱乐部（初级会员）,星期四56
pjxyqxbk464,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四78
pjxyqxbk305,男,2020级,微电子学院,集成电路设计与集成系统,2014022,2014022,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二78
pjxyqwbj698,女,2020级,计算机科学与技术学院,计算机科学与技术,2003013网,200301224,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二78
pjxyqwbk617,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012网,200301223,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期二56
pjxyqxbj469,男,2020级,电子工程学院,电磁场与无线技术,2002061,2002061,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期二56
pjwrqxbj898,男,2020级,先进材料与纳米科技学院,纳米材料与技术,2017031,2017031,2022-2023学年第1学期,体育1,橄榄球俱乐部（中级班）,星期四56
pjwrqxbj926,男,2020级,先进材料与纳米科技学院,材料科学与工程,2017012,2017012,2022-2023学年第1学期,体育1,健美操俱乐部,星期四56
pjxyqxbj286,男,2020级,通信工程学院,信息工程,2001052,2001052,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一56
pjxuqwbj658,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期一78
pjxyqwbk622,男,2020级,计算机科学与技术学院,软件工程,2003052云,200301221,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期三56
pjxyqwbk701,男,2021级,计算机科学与技术学院,软件工程,2103053,2103053,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期三56
pjxyqwbk701,男,2021级,计算机科学与技术学院,软件工程,2103053,2103053,2022-2023学年第1学期,体育1,重修课程,周六12节
pjxyqxbj403,男,2020级,通信工程学院,信息工程,2001051,2001051,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期一56
pjxyqwbj548,男,2020级,人工智能学院,人工智能,2020039,2020039,2022-2023学年第1学期,体育1,排球俱乐部（中级班）,星期三56
pjxyqxbj296,男,2020级,空间科学与技术学院,飞行器设计与工程,2016031,2016031,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二78
pjxyqxbk779,男,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期三56
pjwrqxbj919,男,2020级,先进材料与纳米科技学院,应用化学,2017021,2017021,2022-2023学年第1学期,体育1,橄榄球俱乐部（中级班）,星期四56
pjxyqxbj907,女,2020级,计算机科学与技术学院,计算机科学与技术,2003019,2003019,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期一56
pjxyqxbj928,女,2020级,光电工程学院,电子科学与技术,2005019,2005019,2022-2023学年第1学期,体育1,健美操俱乐部,星期四34
pjxyqwbj570,男,2020级,计算机科学与技术学院,计算机科学与技术,2003013软,200301219,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期二78
pjxyqwbj153,女,2020级,网络与信息安全学院,网络空间安全,2018039,2018039,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一34
pjxyqxbl879,男,2020级,物理学院,电子信息科学与技术,2005052,2005052,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四78
pjxyqwbj917,男,2020级,计算机科学与技术学院,计算机科学与技术,2003019,2003019,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一56
pjxrqxbj909,男,2020级,数学与统计学院,数学与应用数学,2007011,2007011,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期二56
pjxwzxkj992,女,2020级,电子工程学院,电子信息工程,2002019,2002019,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期四78
pjxyqwbj104,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期四78
pjxyqxbk007,男,2020级,通信工程学院,通信工程,2001014,2001014,2022-2023学年第1学期,体育1,篮球俱乐部（高级班）,星期一34
pjxyqwbj841,男,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四56
pjxyqwbk729,男,2020级,计算机科学与技术学院,软件工程,2003053嵌,200301211,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期三56
pjxyqwbj755,男,2020级,计算机科学与技术学院,计算机科学与技术,2003012嵌,200301213,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期二56
pjxyqwbk856,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2022-2023学年第1学期,体育1,篮球俱乐部（高级班）,星期四78
pjxyqwbj072,男,2020级,网络与信息安全学院,网络空间安全,2018039,2018039,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期三56
pjxyqxbk503,女,2021级,电子工程学院,电子信息工程,2102014,2102014,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二56
pjxyqxbk503,女,2021级,电子工程学院,电子信息工程,2102014,2102014,2023-2024学年第1学期,体育1,体育舞蹈俱乐部（初级会员）,星期二78
pjxyqwbj090,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2022-2023学年第1学期,体育1,健身健美俱乐部（初级班）,星期四78
pjxyqxbj529,男,2020级,微电子学院,微电子科学与工程,2014013,2014013,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期四78
pjxyqxbk820,男,2020级,电子工程学院,电子信息工程,2002013,2002013,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期二34
pjxyqwbj216,女,2020级,计算机科学与技术学院,计算机科学与技术,2003011嵌,200301212,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二78
pjxwxxbj916,男,2020级,电子工程学院,电子信息工程,2002911,2002911,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期二34
pjxyqwbk531,女,2021级,计算机科学与技术学院,计算机科学与技术,2103016,2103016,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期二78
pjxyqxbj744,女,2020级,微电子学院,微电子科学与工程,2014012,2014012,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二78
