XN(学年),XQ(学期),ZC(周次),SKXQ(上课学期),RQ(日期),KSJC(开始节次),KSJCSJ(开始节次时间),JSJC(结束节次),JSJCSJ(结束节次时间),XH(学号),XY(学院),ZY(专业),NJ(年级),JASDM(教室),KCM(课程名),KCH(课程号),KXH(课序号),JSMC(教室名称),SZJZ(所在建筑),SZLC(所在楼层),FJBH(房间编号),PLACE_CODE(房间编码),SZXQ(所在校区),FJEJFL(房间二级分类),JZBM(建筑编码),ZTDM(状态代码),ZT(状态),DKSJ(打卡时间),KCXZ(课程学制),KCLB(课程类别)
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqxbk603,微电子学院,微电子科学与工程,2020,B-517,工程概论(IV),TS001004-14,,,B楼,5,B-517,23100405101020,南校区,多媒体教室,231004,2,正常,2024-09-13 08:19:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxuqwbj496,机电工程学院,工业设计,2020,C-427,人机工程学,ME025203,,,C楼,4,C-427,23100204101027,南校区,多媒体教室,231002,5,代签,2024-09-14 01:32:00,,
2024-2025,1,2,5,2024-09-13,5,,6,,pjwrzxbj996,先进材料与纳米科技学院,材料科学与工程,2020,C-427,微机原理与系统设计,MA215106,,,C楼,4,C-427,23100204101027,南校区,多媒体教室,231002,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqwbj397,网络与信息安全学院,网络空间安全,2020,C-424,机器学习,CE204120,,,C楼,4,C-424,23100204101024,南校区,多媒体教室,231002,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxyqxbl763,空间科学与技术学院,探测制导与控制技术,2020,C-326,射频与天线,SS202005,,,C楼,3,C-326,23100203101026,南校区,多媒体教室,231002,2,正常,2024-09-13 10:29:00,,
2024-2025,1,2,5,2024-09-13,5,,6,,pjxuqwbj496,机电工程学院,工业设计,2020,C-326,计算机辅助工业设计,ME023203,,,C楼,3,C-326,23100203101026,南校区,多媒体教室,231002,5,代签,2024-09-14 01:32:00,,
2024-2025,1,2,5,2024-09-13,7,,8,,pjxuqwbj496,机电工程学院,工业设计,2020,C-326,计算机辅助工业设计,ME023203,,,C楼,3,C-326,23100203101026,南校区,多媒体教室,231002,5,代签,2024-09-14 01:32:00,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxuqwbj496,机电工程学院,工业设计,2020,C-129,电子设备结构设计,ME025206,,,C楼,1,C-129,23100201101049,南校区,分组研讨教室,231002,5,代签,2024-09-14 01:32:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjwrqxbj905,先进材料与纳米科技学院,应用化学,2020,C-329,合成化学及表征,MA225122,,,C楼,3,C-329,23100203101029,南校区,基础智慧教室,231002,2,正常,2024-09-13 08:28:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjwrqxbj901,先进材料与纳米科技学院,应用化学,2020,C-329,合成化学及表征,MA225122,,,C楼,3,C-329,23100203101029,南校区,基础智慧教室,231002,2,正常,2024-09-13 08:23:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqwbj288,人工智能学院,智能科学与技术,2020,A-523,智能网络与云计算技术,AI204012,,,A楼,5,A-523,23100505119026,南校区,,231005,2,正常,2024-09-13 08:23:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqwbk686,人工智能学院,智能科学与技术,2020,A-523,智能网络与云计算技术,AI204012,,,A楼,5,A-523,23100505119026,南校区,,231005,3,请假,2024-09-13 08:10:00,,
2024-2025,1,2,5,2024-09-13,7,,8,,pjxuqwbj831,微电子学院,集成电路设计与集成系统,2020,A-414,工程概论(IV),TS001004-14,,,A楼,4,A-414,23100504101015,南校区,多媒体教室,231005,2,正常,2024-09-13 15:49:00,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,B-207,信息对抗技术虚拟仿真实验,EE085011,,,B楼,2,B-207,23100402101003,南校区,基础智慧教室,231004,2,正常,2024-09-13 10:31:00,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxyqxbj271,光电工程学院,电子科学与技术,2020,A-421,物理光学,OE014007,,,A楼,4,A-421,23100504101023,南校区,多媒体教室,231005,5,代签,2024-09-21 01:31:00,,
2024-2025,1,2,5,2024-09-13,9,,10,,pjxuqwbj496,机电工程学院,工业设计,2020,XI-208,软件技术基础,ME025247,,,X楼I区,2,I-208,23100102101009,南校区,多媒体教室,231001,5,代签,2024-09-14 01:32:00,,
2024-2025,1,2,5,2024-09-13,7,,8,,pjxyqxbk916,光电工程学院,电子科学与技术,2020,XI-105,工程概论(IV),TS001004-50,,,X楼I区,1,I-105,23100101101015,南校区,远程互动教室,231001,2,正常,2024-09-13 15:51:00,,
2024-2025,1,2,5,2024-09-13,7,,8,,pjxyqxbl723,通信工程学院,通信工程,2020,XI-119,现代传输技术,TE205102,,,X楼I区,1,I-119,23100101101032,南校区,分组研讨教室,231001,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,5,,10,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,G-614,制导、跟踪与控制综合实验,SS202019,,,G楼,6,G-614,20200306103014,南校区,教学,202003,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,5,,10,,pjxyqxbj566,空间科学与技术学院,探测制导与控制技术,2020,G-614,制导、跟踪与控制综合实验,SS202019,,,G楼,6,G-614,20200306103014,南校区,教学,202003,2,正常,2024-09-13 14:02:00,,
2024-2025,1,2,5,2024-09-13,5,,10,,pjxyqxbk501,空间科学与技术学院,探测制导与控制技术,2020,G-614,制导、跟踪与控制综合实验,SS202019,,,G楼,6,G-614,20200306103014,南校区,教学,202003,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,5,,10,,pjxyqxbl763,空间科学与技术学院,探测制导与控制技术,2020,G-614,制导、跟踪与控制综合实验,SS202019,,,G楼,6,G-614,20200306103014,南校区,教学,202003,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,7,,8,,pjxrqxbj963,数学与统计学院,数学与应用数学,2020,XI-211,微分几何,MS204017,,,X楼I区,2,I-211,23100102101012,南校区,多媒体教室,231001,2,正常,2024-09-13 15:55:00,,
2024-2025,1,2,5,2024-09-13,7,,8,,pjxrqxbj905,数学与统计学院,信息与计算科学,2020,XI-211,微分几何,MS204017,,,X楼I区,2,I-211,23100102101012,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,XI-117,工程概论(IV),TS001004-11,,,X楼I区,1,I-117,23100101101030,南校区,多媒体教室,231001,2,正常,2024-09-13 10:21:00,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxrqxbj963,数学与统计学院,数学与应用数学,2020,XI-216,计算机网络基础,MS204020,,,X楼I区,2,I-216,23100102101017,南校区,多媒体教室,231001,2,正常,2024-09-13 10:16:00,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxrqxbj905,数学与统计学院,信息与计算科学,2020,XI-216,计算机网络基础,MS204020,,,X楼I区,2,I-216,23100102101017,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqxbj709,物理学院,电子信息科学与技术,2020,XI-118,工程概论(IV),TS001004-11,,,X楼I区,1,I-118,23100101101031,南校区,多媒体教室,231001,3,请假,2024-09-13 08:10:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqxbj683,物理学院,电子信息科学与技术,2020,XI-118,工程概论(IV),TS001004-11,,,X楼I区,1,I-118,23100101101031,南校区,多媒体教室,231001,2,正常,2024-09-13 08:16:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqxbk268,物理学院,电子信息科学与技术,2020,XI-118,工程概论(IV),TS001004-11,,,X楼I区,1,I-118,23100101101031,南校区,多媒体教室,231001,2,正常,2024-09-13 08:22:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqxbl739,物理学院,电子信息科学与技术,2020,XI-118,工程概论(IV),TS001004-11,,,X楼I区,1,I-118,23100101101031,南校区,多媒体教室,231001,3,请假,2024-09-13 08:10:00,,
2024-2025,1,2,5,2024-09-13,1,,2,,pjxyqxbl688,物理学院,电子信息科学与技术,2020,XI-118,工程概论(IV),TS001004-11,,,X楼I区,1,I-118,23100101101031,南校区,多媒体教室,231001,2,正常,2024-09-13 08:30:00,,
2024-2025,1,2,5,2024-09-13,5,,6,,pjxyqxbk732,光电工程学院,光电信息科学与工程,2020,XI-205,显示技术,OE015107,,,X楼I区,2,I-205,23100102101006,南校区,多媒体教室,231001,2,正常,2024-09-13 13:51:00,,
2024-2025,1,2,5,2024-09-13,5,,6,,pjxyqxbj636,通信工程学院,空间信息与数字技术,2020,XI-311,工程概论(IV),TS001004-01,,,X楼I区,3,I-311,23100103101012,南校区,多媒体教室,231001,2,正常,2024-09-13 13:52:00,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxyqxbj636,通信工程学院,空间信息与数字技术,2020,XI-317,网络管理,TE205112,,,X楼I区,3,I-317,23100103101018,南校区,多媒体教室,231001,2,正常,2024-09-13 10:23:00,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxyqxbk854,通信工程学院,通信工程,2020,XI-317,网络管理,TE205112,,,X楼I区,3,I-317,23100103101018,南校区,多媒体教室,231001,2,正常,2024-09-13 10:15:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqwbj579,计算机科学与技术学院,软件工程,2020,A-503,信息安全概论,CS265016,,,A楼,5,A-503,23100505101003,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-511,计算机组成与结构(II),CS263012,,,A楼,5,A-511,23100505101012,南校区,多媒体教室,231005,5,代签,2024-09-21 01:31:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqwbj397,网络与信息安全学院,网络空间安全,2020,A-518,工控安全,CE204109,,,A楼,5,A-518,23100505101020,南校区,多媒体教室,231005,2,正常,2024-09-14 10:16:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqwbj397,网络与信息安全学院,网络空间安全,2020,A-518,大数据分析与安全,CE204108,,,A楼,5,A-518,23100505101020,南校区,多媒体教室,231005,2,正常,2024-09-14 13:46:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqxbk723,空间科学与技术学院,空间科学与技术,2020,B-315,微波技术基础,SS204234,,,B楼,3,B-315,23100403101016,南校区,基础智慧教室,231004,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,B-315,微波技术基础,SS204234,,,B楼,3,B-315,23100403101016,南校区,基础智慧教室,231004,2,正常,2024-09-14 15:53:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqwbj763,计算机科学与技术学院,软件工程,2020,B-421,无线传感网络技术,CS265043,,,B楼,4,B-421,23100404101022,南校区,多媒体教室,231004,2,正常,2024-09-14 13:58:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqwbj564,计算机科学与技术学院,软件工程,2020,B-421,无线传感网络技术,CS265043,,,B楼,4,B-421,23100404101022,南校区,多媒体教室,231004,2,正常,2024-09-14 13:57:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqwbj380,计算机科学与技术学院,软件工程,2020,B-421,无线传感网络技术,CS265043,,,B楼,4,B-421,23100404101022,南校区,多媒体教室,231004,2,正常,2024-09-14 13:57:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,B-421,无线传感网络技术,CS265043,,,B楼,4,B-421,23100404101022,南校区,多媒体教室,231004,2,正常,2024-09-14 13:57:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqwbk624,计算机科学与技术学院,软件工程,2020,B-421,无线传感网络技术,CS265043,,,B楼,4,B-421,23100404101022,南校区,多媒体教室,231004,2,正常,2024-09-14 13:59:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqxbk204,微电子学院,集成电路设计与集成系统,2020,B-418,工程概论(IV),TS001004-14,,,B楼,4,B-418,23100404101019,南校区,多媒体教室,231004,2,正常,2024-09-14 13:44:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbl723,通信工程学院,通信工程,2020,B-422,工程概论(IV),TS001004-01,,,B楼,4,B-422,23100404101023,南校区,多媒体教室,231004,2,正常,2024-09-14 10:20:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqxbk661,物理学院,电波传播与天线,2020,B-314,西安古都与城市文化,HA006036,,,B楼,3,B-314,23100403101014,南校区,基础智慧教室,231004,4,缺勤,,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxuqwbj511,机电工程学院,测控技术与仪器,2020,XI-419,工程概论(IV),TS001004-04,,,X楼I区,4,I-419,23100104101021,南校区,多媒体教室,231001,2,正常,2024-09-13 10:25:00,,
2024-2025,1,2,6,2024-09-14,9,,10,,pjxsqxbj921,经济与管理学院,市场营销,2020,A-314,大学生实用营销：学习实践、择业创业、交友恋爱,EM006018,,,A楼,3,A-314,23100503101016,南校区,多媒体教室,231005,2,正常,2024-09-14 18:59:00,,
2024-2025,1,2,5,2024-09-13,3,,4,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,XI-420,量子物理基础,SS202091,,,X楼I区,4,I-420,23100104101022,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-402,雷达信号处理新技术,EE085019,,,A楼,4,A-402,23100504101002,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqxbj683,物理学院,电子信息科学与技术,2020,A-402,改革开放史,MC006017,,,A楼,4,A-402,23100504101002,南校区,多媒体教室,231005,5,代签,2024-09-16 01:37:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqxbj636,通信工程学院,空间信息与数字技术,2020,A-402,改革开放史,MC006017,,,A楼,4,A-402,23100504101002,南校区,多媒体教室,231005,5,代签,2024-09-28 01:30:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqwbj763,计算机科学与技术学院,软件工程,2020,A-402,改革开放史,MC006017,,,A楼,4,A-402,23100504101002,南校区,多媒体教室,231005,2,正常,2024-09-14 16:32:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqwbj279,计算机科学与技术学院,软件工程,2020,A-402,改革开放史,MC006017,,,A楼,4,A-402,23100504101002,南校区,多媒体教室,231005,2,正常,2024-09-14 16:32:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqwbk686,人工智能学院,智能科学与技术,2020,A-402,改革开放史,MC006017,,,A楼,4,A-402,23100504101002,南校区,多媒体教室,231005,5,代签,2024-09-27 01:30:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-402,改革开放史,MC006017,,,A楼,4,A-402,23100504101002,南校区,多媒体教室,231005,5,代签,2024-09-21 01:31:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxuqwbj496,机电工程学院,工业设计,2020,A-402,改革开放史,MC006017,,,A楼,4,A-402,23100504101002,南校区,多媒体教室,231005,5,代签,2024-09-30 01:30:00,,
2024-2025,1,2,5,2024-09-13,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,XI-418,工程概论(IV),TS001004-02,,,X楼I区,4,I-418,23100104101020,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjxyqxbk603,微电子学院,微电子科学与工程,2020,A-314,功率半导体器件基础,MI015006,,,A楼,3,A-314,23100503101016,南校区,多媒体教室,231005,2,正常,2024-09-14 08:19:00,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjwrqxbj905,先进材料与纳米科技学院,应用化学,2020,C-116,界面活性技术,MA225118,,,C楼,1,C-116,23100201101037,南校区,远程互动教室,231002,2,正常,2024-09-14 08:29:00,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjwrqxbj901,先进材料与纳米科技学院,应用化学,2020,C-116,界面活性技术,MA225118,,,C楼,1,C-116,23100201101037,南校区,远程互动教室,231002,2,正常,2024-09-14 08:25:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxuqwbj496,机电工程学院,工业设计,2020,C-129,电子设备结构设计,ME025206,,,C楼,1,C-129,23100201101049,南校区,分组研讨教室,231002,5,代签,2024-09-15 01:31:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,B-532,智能软件概论,CS205519,,,B楼,5,B-532,23100405101035,南校区,多媒体教室,231004,3,请假,2024-09-14 13:40:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqwbk949,人工智能学院,智能科学与技术,2020,B-608,量子计算智能,AI202106,,,B楼,6,B-608,23100406101009,南校区,多媒体教室,231004,4,缺勤,,学院任选,专业选修课
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqwbk686,人工智能学院,智能科学与技术,2020,B-608,量子计算智能,AI202106,,,B楼,6,B-608,23100406101009,南校区,多媒体教室,231004,3,请假,2024-09-14 10:05:00,学院任选,专业选修课
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqxbk723,空间科学与技术学院,空间科学与技术,2020,C-207,空间电子器件物理学,SS204215,,,C楼,2,C-207,23100202101007,南校区,基础智慧教室,231002,3,请假,2024-09-15 13:30:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,C-207,空间电子器件物理学,SS204215,,,C楼,2,C-207,23100202101007,南校区,基础智慧教室,231002,2,正常,2024-09-14 13:47:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbk854,通信工程学院,通信工程,2020,B-443,工程概论(IV),TS001004-01,,,B楼,4,B-443,23100404101044,南校区,多媒体教室,231004,2,正常,2024-09-14 10:18:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,B-437,数据可视化,CS205524,,,B楼,4,B-437,23100404101038,南校区,多媒体教室,231004,3,请假,2024-09-14 13:40:00,,
2024-2025,1,3,3,2024-09-18,9,,10,,pjxyqwbk652,计算机科学与技术学院,软件工程,2020,A-226,《老子》导读,HA006005,,,A楼,2,A-226,23100502101029,南校区,多媒体教室,231005,3,请假,2024-09-18 18:40:00,公共任选,通识教育选修课
2024-2025,1,2,6,2024-09-14,5,,6,,pjxuqwbj935,机电工程学院,机械设计制造及其自动化,2020,XI-319,电子产品热设计技术讲座,ME010008,,,X楼I区,3,I-319,23100103101019,南校区,多媒体教室,231001,2,正常,2024-09-14 14:05:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxuqwbj631,机电工程学院,机械设计制造及其自动化,2020,XI-319,电子产品热设计技术讲座,ME010008,,,X楼I区,3,I-319,23100103101019,南校区,多媒体教室,231001,5,代签,2024-09-14 14:07:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqxbj501,光电工程学院,光电信息科学与工程,2020,XI-418,Optoelectronics and Integrated Optics（双语）,OE015059,,,X楼I区,4,I-418,23100104101020,南校区,多媒体教室,231001,2,正常,2024-09-14 13:53:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqxbk916,光电工程学院,电子科学与技术,2020,XI-418,Optoelectronics and Integrated Optics（双语）,OE015059,,,X楼I区,4,I-418,23100104101020,南校区,多媒体教室,231001,2,正常,2024-09-14 13:55:00,,
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqxbk503,电子工程学院,电子信息工程,2020,XI-414,雷达对抗原理,EE015220,,,X楼I区,4,I-414,23100104101017,南校区,多媒体教室,231001,2,正常,2024-09-14 13:55:00,必修,专业课(专业核心课)
2024-2025,1,2,6,2024-09-14,5,,6,,pjxyqxbk477,电子工程学院,电子信息工程,2020,XI-414,雷达对抗原理,EE015220,,,X楼I区,4,I-414,23100104101017,南校区,多媒体教室,231001,2,正常,2024-09-14 13:58:00,必修,专业课(专业核心课)
2024-2025,1,2,6,2024-09-14,1,,2,,pjxyqxbj840,光电工程学院,电子科学与技术,2020,XI-415,光电成像原理,OE015029,,,X楼I区,4,I-415,23100104101018,南校区,多媒体教室,231001,2,正常,2024-09-14 09:24:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxuqwbj830,机电工程学院,自动化,2020,XI-320,数字图像处理,ME034036,,,X楼I区,3,I-320,23100103101020,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjxyqxbj709,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjxyqxbj683,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,4,缺勤,,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqwbk686,人工智能学院,智能科学与技术,2020,XI-415,数字信号处理,AI202006,,,X楼I区,4,I-415,23100104101018,南校区,多媒体教室,231001,3,请假,2024-09-14 15:35:00,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjxyqxbk268,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,2,正常,2024-09-14 08:24:00,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjxyqxbl739,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,3,请假,2024-09-14 08:10:00,,
2024-2025,1,2,6,2024-09-14,1,,2,,pjxyqxbl688,物理学院,电子信息科学与技术,2020,XI-413,微波遥感基础,PY055068,,,X楼I区,4,I-413,23100104101016,南校区,多媒体教室,231001,2,正常,2024-09-14 08:27:00,,
2024-2025,1,3,3,2024-09-18,3,,4,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,A-214,离散数学（II）,CS205302,,,A楼,2,A-214,23100502101015,南校区,多媒体教室,231005,3,请假,2024-09-19 14:31:00,,
2024-2025,1,3,3,2024-09-18,1,,2,,pjxyqwbk777,计算机科学与技术学院,物联网工程,2020,A-223,数据挖掘,CS205204,,,A楼,2,A-223,23100502101025,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,3,3,2024-09-18,9,,10,,pjxyqxbl763,空间科学与技术学院,探测制导与控制技术,2020,A-308,生活中的柔性电子技术与体验,IA006002,,,A楼,3,A-308,23100503101009,南校区,多媒体教室,231005,2,正常,2024-09-18 19:03:00,公共任选,通识教育选修课
2024-2025,1,3,3,2024-09-18,3,,4,,pjxyqwbj288,人工智能学院,智能科学与技术,2020,A-513,智能网络与云计算技术,AI204012,,,A楼,5,A-513,23100505101015,南校区,多媒体教室,231005,2,正常,2024-09-18 10:16:00,,
2024-2025,1,3,3,2024-09-18,3,,4,,pjxyqwbk686,人工智能学院,智能科学与技术,2020,A-513,智能网络与云计算技术,AI204012,,,A楼,5,A-513,23100505101015,南校区,多媒体教室,231005,3,请假,2024-09-18 11:44:00,,
2024-2025,1,3,3,2024-09-18,9,,10,,pjxyqxbk854,通信工程学院,通信工程,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,2,正常,2024-09-18 18:50:00,,
2024-2025,1,3,3,2024-09-18,9,,10,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,3,3,2024-09-18,9,,10,,pjxyqwbj397,网络与信息安全学院,网络空间安全,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,3,3,2024-09-18,9,,10,,pjxwxxbj993,电子工程学院,电子信息工程,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,2,正常,2024-09-18 18:50:00,,
2024-2025,1,3,3,2024-09-18,9,,10,,pjxrqxbj905,数学与统计学院,信息与计算科学,2020,A-413,看电影学历史(明清专题),HA006165,,,A楼,4,A-413,23100504101014,南校区,多媒体教室,231005,4,缺勤,,,
2024-2025,1,3,3,2024-09-18,9,,10,,pjxyqxbl739,物理学院,电子信息科学与技术,2020,A-313,汉字毛笔书写初涉,HE006022,,,A楼,3,A-313,23100503101015,南校区,多媒体教室,231005,3,请假,2024-09-18 18:55:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbj754,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-09-14 10:19:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbj501,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-09-14 10:19:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbj162,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-09-14 10:19:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbj100,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-09-14 10:19:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbk916,光电工程学院,电子科学与技术,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-09-14 10:23:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbk732,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-09-14 10:19:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbk579,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-09-14 10:19:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxyqxbk080,光电工程学院,光电信息科学与工程,2020,D-205,光电检测技术,OE015028,,,D楼,2,D-205,23100602101005,南校区,多媒体教室,231006,2,正常,2024-09-14 10:21:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxsqxbj921,经济与管理学院,市场营销,2020,C-310,公共关系学,EM065001,,,C楼,3,C-310,23100203101010,南校区,多媒体教室,231002,2,正常,2024-09-14 10:22:00,,
2024-2025,1,2,6,2024-09-14,3,,4,,pjxsqxbj864,经济与管理学院,市场营销,2020,C-310,公共关系学,EM065001,,,C楼,3,C-310,23100203101010,南校区,多媒体教室,231002,2,正常,2024-09-14 10:22:00,,
2024-2025,1,2,6,2024-09-14,7,,8,,pjxyqxbk503,电子工程学院,电子信息工程,2020,XI-105,电磁兼容原理与技术,EE015223,,,X楼I区,1,I-105,23100101101015,南校区,远程互动教室,231001,2,正常,2024-09-14 15:51:00,,
