课程号_统一,KCCCDM(课程层次),KCFLDM(课程分类),JXFSDM(教学方式),SKYZDM(授课语种),KCZTDM(课程状态),KCM(课程名),YWKCM(英文课程名),JXMD(教学目的),XS(学时),XF(学分),KNZXS(课内周学时),KTJSXS(课堂讲授学时),SYXS(实验学时),SJIXS(设计学时),SJXS(上机学时),TLXS(讨论学时),QTXS1(其他学时1),QTXS2(其他学时2),QTXS3(其他学时3),JZSJZ(集中实践周),KCSJXS(课程实践学时),KSLXDM(考试类型),ZWJC(中文教材),ZWCKS(中文参考书),WWJC(外文教材),WWCKS(外文参考书),SYYX(适用院系或专业),KCSM(课程说明),ZWNRJJ(中文内容简介),YWNRJJ(英文内容简介),KSRQ(开始日期),YBZS(预备知识),CZSJ(操作时间),BZ(备注),TKYY(停开原因),HFYY(恢复原因),XGXKLBDM(校公选课类别),XXKDM(先修课代码),XXKMC(先修课名称),KSXQ(开课学期),SFXGXK(是否校公选课),KCSJZXS(课程实践周学时),XFLBDM(学分类别代码),KCFL1(课程分类),SFSYSK(是否双语授课),SFQYWSK(是否全英文授课),CJKHFS(成绩考核方式),KCMB(课程目标),XXKSFQY(先修课是否启用),XXKBXTG(先修课必须通过)
ME3602,1.0,002,7.0,,1.0,工程传热学,Heat Transfer of Engineering,,48.0,3.0,2,44.0,4.0,0.0,4.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
ME3601,1.0,002,7.0,,1.0,工程力学,Mechanics of Engineering,,64.0,4.0,2,60.0,4.0,0.0,4.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,"开课学期为4,201411",,,,,,2.0,0.0,,,,,,,,,
ME5602,1.0,003,1.0,,1.0,电子封装材料与工艺,Material and Technology of Electrinic Packing,,64.0,4.0,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
ME5603,1.0,003,1.0,,1.0,微机电系统封装技术,Packing Technology of Micro-electromechanical Systerm,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
ME5607,1.0,003,7.0,,1.0,电子封装测试与可靠性,Electronic Packaging Testing and Reliability,,48.0,3.0,2,38.0,16.0,0.0,4.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
ME5608,1.0,003,1.0,,1.0,通信系统原理,Principle of Communication Systems,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
ME5610,1.0,003,7.0,,1.0,SOPC电路系统设计与试验SOPC,SOPC Design and Test,,32.0,2.0,2,16.0,32.0,0.0,24.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
ME5611,1.0,003,6.0,,1.0,电子封装技术基础实验,Basic Experiments on Electronic Packaging,,32.0,2.0,2,24.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为6，201411,,,,,,1.0,0.0,,,,,,,,,
MS1008-16,1.0,001,1.0,,1.0,概率论与数理统计,Probability Theory andMathematical Statistics,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
MS1009-16,1.0,001,1.0,,1.0,场论与复变函数,Field Theory and Functions of Complex Variables,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
OE3221099,1.0,004,1.0,,1.0,射频技术,Radio Frequency,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
ME5006,1.0,003,6.0,,1.0,电子测量技术,Electronic Measurement Technology,,48.0,3.0,2,40.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
EE5000,1.0,004,2.0,,1.0,电子产品创作设计,Electronic Product Design and Production,,32.0,2.0,2,0.0,64.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
PY5408,1.0,004,2.0,,1.0,电子电磁技术实验,Electronic and Electromagnetic Technology,,32.0,2.0,2,0.0,64.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
ME5613,1.0,004,1.0,,1.0,电子封装标准,Electronic Packaging Standards,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
TE3321211,1.0,004,1.0,,1.0,嵌入式系统设计,Design of Embedded System,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
EE5045,1.0,003,6.0,,1.0,电磁场与无线技术专业综合实验,ComprehensiveExperiments of Electromagnetic Fields and Wireless Technology,,32.0,2.0,2,12.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,"开课学期为7,201411",,,,,,1.0,0.0,,,,,,,,,
PY5069,1.0,004,1.0,,1.0,射频电路基础,Fundamentals of Radio Frequency Circuit,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
PY3013,1.0,004,1.0,,1.0,光电成像原理,The Principle of Optoelectronic Imaging,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,"开课学期为7,201411",,,,,,1.0,0.0,,,,,,,,,
PY3101,1.0,002,1.0,,1.0,信号与系统基础,Signals and Systems,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,"开课学期为4,201411",,,,,,2.0,0.0,,,,,,,,,
PY3102,1.0,002,1.0,,1.0,模拟电子技术基础,Fundamentals of Analog Electronic Technology,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,"开课学期为4,201411",,,,,,2.0,0.0,,,,,,,,,
PY3103,1.0,002,1.0,,1.0,数字电路与逻辑设计,Digital Circuits and Logic Design,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,"开课学期为4,201411",,,,,,2.0,0.0,,,,,,,,,
PY3105,1.0,003,1.0,,1.0,数学物理方程（Ⅱ）,Equations of Mathematical Physics（Ⅱ）,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,"开课学期为4,201411",,,,,,2.0,0.0,,,,,,,,,
PY3106,1.0,003,1.0,,1.0,量子力学基础,Quantum Mechanism,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,"开课学期为4,201411",,,,,,2.0,0.0,,,,,,,,,
PY3108,1.0,003,1.0,,1.0,激光技术,Laser Technology,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,"开课学期为7,201411",,,,,,1.0,0.0,,,,,,,,,
EM3017,1.0,002,15.0,,1.0,公司理财,CorporateFinance,,48.0,3.0,2,40.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,1.0,,,,,,48+0周,,,,,,"开课学期为5,201411",,,,,,1.0,0.0,,,,,,,,,
EM3018,1.0,002,15.0,,1.0,证券投资学,Security Investment,,48.0,3.0,2,40.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,1.0,,,,,,48+0周,,,,,,"开课学期为6,201411",,,,,,2.0,0.0,,,,,,,,,
EM5402,1.0,003,15.0,,1.0,金融市场学,Finance Marketing,,32.0,2.0,2,28.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,1.0,,,,,,32+0周,,,,,,"开课学期为4,201411",,,,,,2.0,0.0,,,,,,,,,
EM5405,1.0,003,1.0,,1.0,金融工程,Financial Engineering ,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,"开课学期为6,201411",,,,,,2.0,0.0,,,,,,,,,
EM6619,1.0,003,1.0,,1.0,公共人力资源管理,Public Human Resource Management,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为4，201411,,,,,,2.0,0.0,,,,,,,,,
EM5610,1.0,003,1.0,,1.0,行政程序与行政诉讼法,Administrative Law and Administrative Procedure,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为5，201411,,,,,,1.0,0.0,,,,,,,,,
EM5611,1.0,003,1.0,,1.0,秘书学,Science of Secretary,,40.0,2.5,2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,40+0周,,,,,,开课学期为5，201411,,,,,,1.0,0.0,,,,,,,,,
EM5613,1.0,003,1.0,,1.0,电子政务,E-Government,,40.0,2.5,2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,40+0周,,,,,,开课学期为6，201411,,,,,,2.0,0.0,,,,,,,,,
EM5614,1.0,003,2.0,,1.0,电子政务模拟实验,E-Government Operation Training,,16.0,1.0,2,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为6，201411,,,,,,2.0,0.0,,,,,,,,,
EM5601,1.0,004,1.0,,1.0,投资学,Investment,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为4，201411,,,,,,2.0,0.0,,,,,,,,,
EM6608,1.0,004,1.0,,1.0,国家公务员制度,National Civil Service System,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为5，201411,,,,,,1.0,0.0,,,,,,,,,
EM6609,1.0,004,1.0,,1.0,地方政府管理学,Local Government Management,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为5，201411,,,,,,1.0,0.0,,,,,,,,,
EM6610,1.0,004,1.0,,1.0,公共预算,Public Budgeting,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为6，201411,,,,,,2.0,0.0,,,,,,,,,
TE6088,1.0,004,1.0,,1.0,多媒体通信,Multimedia Communication,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
ME5033,1.0,004,1.0,,1.0,多媒体应用技术,ApplicationTechnology of Multimedia,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
MS5013,1.0,004,12.0,,1.0,多元统计分析,Multivariate Statistical Analysis,,48.0,3.0,2,36.0,0.0,0.0,12.0,4.0,2.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
FL3022,1.0,002,1.0,,1.0,二外日语（Ⅱ）,Second Foreign Language Japanese（II）,,64.0,4.0,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
FL3023,1.0,002,1.0,,1.0,二外日语（Ⅲ）,Second Foreign Language Japanese（Ⅲ）,,64.0,4.0,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
FL3021,1.0,002,1.0,,1.0,二外日语（Ⅰ）,Second Foreign Language Japanese（Ⅰ）,,64.0,4.0,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
ME5614,1.0,004,1.0,,1.0,分析力学基础,Elements of Analytical Mechanics,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
LS6007,1.0,003,2.0,,1.0,分子生物学实验,Molecular Biology Experiment,,16.0,1.0,2,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,16+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
PY3202,1.0,004,1.0,,1.0,傅立叶光学与光信息处理,Fourier Optics and Optical Information Processing,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
TE1012,1.0,001,1.0,,1.0,概率论与数理统计,Probability Theory and Mathematics Statistics,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为3,,,,,,1.0,0.0,,,,,,,,,
MS5002,1.0,003,15.0,,1.0,概率论与数理统计,Probability Theory and Mathematics Statistics,,96.0,6.0,2,90.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,1.0,,,,,,96+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
MA5109,1.0,002,1.0,,1.0,高分子化学,Polymer Chemistry,,40.0,2.5,2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,40+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
FL5007,1.0,002,1.0,,1.0,高级英语（II）,Advanced English（II）,,64.0,4.0,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
FL5006,1.0,002,1.0,,1.0,高级英语（Ⅰ）,Advanced English（Ⅰ）,,64.0,4.0,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
MA5016,1.0,002,15.0,,1.0,高密度组装与片式元器件,Surface Mount Technologies & Chip Components,,32.0,2.0,2,30.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
TE3031,1.0,002,1.0,,1.0,高频电子线路,High Frequency Electronic Circuit,,64.0,4.0,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
ME5309,1.0,005,2.0,,1.0,工程设计,Engineering Design,,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,2.0,,,,,,0+1周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
ME5211,1.0,004,1.0,,1.0,工业设计快速表达,Industrial Design Sketch,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
SE6006,1.0,002,10.0,,1.0,工作流技术基础,Fundamentals of Workflow Technology ,,32.0,2.0,2,24.0,0.0,0.0,16.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
TE6054,1.0,004,1.0,,1.0,公钥基础设施原理与技术（研讨班）,Public Key Infrastructure Principles and Techniques (Seminar),,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
TE6059,1.0,004,1.0,,1.0,经典公钥密码案例选讲,Brief Introduction to Classic Public Key Password Cases,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
PY3003,1.0,003,1.0,,1.0,固体物理,Solid State Physics,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
MA3007,1.0,002,15.0,,1.0,固体物理,Solid State Physics,,48.0,3.0,2,44.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
MI2001,1.0,002,15.0,,1.0,固体物理,Solid State Physics,,56.0,3.5,2,52.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,1.0,,,,,,56+0周,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
ME5035,1.0,004,1.0,,1.0,光电检测技术,OptoelectricDetection Techniques,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
PY3012,1.0,004,1.0,,1.0,光电检测技术（Ⅰ）,Technology of Optoelectronic Detection（Ⅰ）,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
SC4321168,1.0,004,1.0,,1.0,射频识别技术,Radio Frequency Identification Technology,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
OE5033,1.0,004,6.0,,1.0,军队基层文化工作,Grass-root Cultural Work in the Army,,20.0,1.0,2,410.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,20+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
OE5034,1.0,004,6.0,,1.0,人民军队历史与优良传统,History and Fine Traditions of the People's Liberation Army of China,,20.0,1.0,2,410.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,20+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
OE5035,1.0,004,6.0,,1.0,当代革命军人核心价值观,Core Values of Contemporary Revolutionary Soldiers,,20.0,1.0,2,410.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,20+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
EE2121128,1.0,002,1.0,,1.0,导航原理,Navigation Principle,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
IE6001-4,1.0,007,2.0,,1.0,科技制作-4,Scientific Manufacturing（IV）,,24.0,1.5,2,0.0,48.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,24+0周,,,,,,开课学期为8，201411,,,,,,2.0,0.0,,,,,,,,,
IE3001,1.0,002,1.0,,1.0,随机信号分析（中英文）,Random Signal Analysis,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,"开课学期为5,201411",,,,,,1.0,0.0,,,,,,,,,
EE3037,1.0,002,1.0,,1.0,应用光学工程,Applied Optics Engineering,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,"开课学期为5,201411",,,,,,1.0,0.0,,,,,,,,,
TP4221715,1.0,004,1.0,,1.0,电介质物理,Dielectric Physics,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
TP3321205,1.0,004,1.0,,1.0,电子材料与元器件测试技术,Electronic Materials and Component Testing Technology,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
PY4321213,1.0,004,1.0,,1.0,光纤通信系统,Optical Fiber Communication Systems,,48.0,3.0,2,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,48+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
TP3221119,1.0,004,1.0,,1.0,纳米电子学,Nanoelectronics,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
EE5163,1.0,003,1.0,,1.0,光电成像原理与技术,Optoelectronic Imaging Principle and Technology,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,"开课学期为6,201411",,,,,,2.0,0.0,,,,,,,,,
EE5160,1.0,003,6.0,,1.0,成像电子学系统实验,Experiments on Electronic Systemsfor Imaging,,32.0,2.0,2,8.0,48.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,"开课学期为6,201411",,,,,,2.0,0.0,,,,,,,,,
OE3121049,1.0,003,15.0,,1.0,行业工程标准与规范,Industry Engineering Standards and Specifications,,32.0,2.0,2,18.0,0.0,0.0,0.0,0.0,14.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
OE3121054,1.0,003,5.0,,1.0,综合项目设计,Integrated project Design,,0.0,4.0,2,0.0,0.0,0.0,0.0,0.0,240.0,0.0,,6,,2.0,,,,,,0+6周,,,,,,开课学期为7,,,,,,1.0,0.0,,,,,,,,,
OE3121056,1.0,003,5.0,,1.0,顶岗实习及毕业设计,Undergraduate Thesis,,0.0,16.0,2,0.0,0.0,0.0,0.0,0.0,640.0,0.0,,16,,2.0,,,,,,0+16周,,,,,,开课学期为8,,,,,,2.0,0.0,,,,,,,,,
ME5053,1.0,004,1.0,,1.0,计算机网络应用技术,Application of Computer Networks,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,"开课学期为5,201411",,,,,,1.0,0.0,,,,,,,,,
SE5025L,1.0,,10.0,,1.0,数据管理技术,Data Management Technology,,32.0,2.0,2,24.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
SE5028L,1.0,,10.0,,1.0,构件与中间件技术,Component and Middleware Technology,,40.0,2.5,2,32.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,40+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
SE5031L,1.0,,6.0,,1.0,嵌入式系统基础,Fundamentals of Embedded System,,40.0,2.5,2,28.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,40+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
SE5032L,1.0,,6.0,,1.0,嵌入式系统设计,Design of Embedded System,,48.0,3.0,2,36.0,24.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,48+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
EE1002L-3,1.0,006,1.0,,1.0,专业教育(III),Professional Education,,4.0,0.2,2,4.0,0.0,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
EE1002L-4,1.0,006,1.0,,1.0,专业教育(IV),Professional Education,,4.0,0.2,2,4.0,0.0,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
EE1005L,1.0,006,2.0,,1.0,科技制作,Scientific Manufacturing,,16.0,1.0,2,0.0,0.0,,,,,,,,16.0,2.0,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,
MI1013L,,003,1.0,,1.0,半导体器件物理（I）（双语）,Physics of Semiconductor Devices I (Bilingual),,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
MI1021L,,017,1.0,,1.0,模拟电子技术基础,Analog Electronics Technique Fundamentals,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为4,,,,,,2.0,0.0,,,,,,,,,
MI1022L,,003,1.0,,1.0,半导体物理（Ⅱ）（双语）,Semiconductor  Physics（Ⅱ）,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
CS3321999,1.0,004,1.0,,1.0,云计算技术,Cloud Computing Technology,,16.0,1.0,2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为6,,,,,,2.0,0.0,,,,,,,,,
HA6204,1.0,005,2.0,,1.0,毕业设计,Undergraduate Thesis,,0.0,16.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16,,2.0,,,,,,0+16周,,,,,,"开课学期为8,201411",,,,,,2.0,0.0,,,,,,,,,
EM8024,1.0,,1.0,,1.0,社会福利概论,Social Welfare and Relief,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为秋,,,3.0,,,1.0,1.0,,,,,,,,,
ME2123007,1.0,002,2.0,,1.0,电子线路实验（Ⅲ）,Electronic Circuit Experiment（Ⅲ）,,8.0,0.5,2,0.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,8+0周,,,,,,开课学期为5,,,,,,1.0,0.0,,,,,,,,,
ME5621,1.0,004,6.0,,1.0,MATLAB程序设计与应用,MATLAB Programming and Application,,32.0,2.0,2,30.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,32+0周,,,,,,"开课学期为3,201411",,,,,,1.0,0.0,,,,,,,,,
MS1007-16,1.0,001,10.0,,1.0,线性代数,Linear Algebra,,52.0,3.0,2,46.0,0.0,0.0,12.0,0.0,0.0,0.0,,,,1.0,,,,,,52+0周,,,,,,开课学期为2,,,,,,2.0,0.0,,,,,,,,,
MA3131,1.0,005,2.0,,1.0,课程设计与设计性实验,Course Design and Designing Experiments of Materials Science,,0.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2,,2.0,,,,,,0+2周,,,,,,开课学期为第7学期分散,,,,,,1.0,0.0,,,,,,,,,
SS3007,1.0,002,1.0,,1.0,射频与天线,The RF and AN,,64.0,4.0,2,64.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,64+0周,,,,,,开课学期为5，201411,,,,,,1.0,0.0,,,,,,,,,
SS3004,1.0,002,1.0,,1.0,数字信号处理,Digital Signal Processing,,32.0,2.0,2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,,32+0周,,,,,,开课学期为5，201411,,,,,,1.0,0.0,,,,,,,,,
