XH(学号),YDRQ(异动日期),YDLBDM(异动类别代码),YDLBDM(异动类别代码)_含义,YDYYDM(异动原因代码),YDYYDM(异动原因代码)_含义,SPRQ(审批日期),YYXDM(原院系代码),YZYDM(原专业代码),YZYFXDM(原专业方向代码),YNJ(原年级),XYXDM(现院系代码),XZYDM(现专业代码),XZYFXDM(现专业方向代码),XNJ(现年级),SFZX(是否在校),SFZX(是否在校)_含义,YDSM(异动说明),YXZ(原学制),YXZ(原学制)_含义,XBH(现班号),BY1(生效日期),BY2(备用),SFSCXKJG(是否删除选课结果),SFTBPYFA(是否同步培养方案),SFTBPYFA(是否同步培养方案)_含义
pjxyqxbj132,,13,延长学制,14,死亡,2024-07-10 10:47:04,1102,0201,02011,2020,,,,2021.0,,,,4.0,转专业,2102012,2024-07-10,,0.0,0,0
pjxyqwbj445,,4,转专业,6,专业分流,2022-08-16 15:47:54,1103,0301,03011,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003012网,2022-08-16,,0.0,1,休学
pjxwzxkj996,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:56:02,2321,9292,92929,2020,1102.0,0201,02019,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002019,2021-07-16,,0.0,1,休学
pjxyqxbj507,,4,转专业,5,保留学籍,2020-09-18 21:06:34,2321,202001,,2020,2321.0,9292,92928,2020.0,,,2020202110006zy班选拔2020级,,,2002018,2020-09-18,,,0,0
pjxyqwbk601,,4,转专业,6,专业分流,2022-08-12 11:17:15,1103,0305,,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003051网,2022-08-12,,0.0,1,休学
pjxyqwbj669,,4,转专业,6,专业分流,2022-08-12 10:45:12,1103,0305,,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003051W,2022-08-12,,0.0,1,休学
pjxsqxbj873,,4,转专业,6,专业分流,2022-06-27 19:58:46,1106,0691,,2020,1106.0,0605,,2020.0,,,,4.0,转专业,2006051,2022-06-27,,0.0,1,休学
pjxyqwbj531,,4,转专业,6,专业分流,2022-08-16 14:44:50,1103,0301,03011,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003012软,2022-08-16,,0.0,1,休学
pjxyqxbj885,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:45:07,2321,9292,92928,2020,1102.0,0201,02018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002018,2021-07-16,,0.0,1,休学
pjxyqxbl826,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:53:40,1105,0501,05011,2020,529.0,2901,29011,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqwbj086,,15,出国交流,18,学院异动,2023-11-27 14:27:33,1103,0301,03012,2020,1103.0,080906,,2020.0,0.0,0.0,出国交流,4.0,转专业,2003061,2023-11-27,,0.0,0,0
pjxsqxbj925,,4,转专业,6,专业分流,2022-06-27 19:38:54,1106,0691,,2020,1106.0,0602,,2020.0,,,,4.0,转专业,2006021,2022-06-27,,0.0,1,休学
pjxyqxbk454,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:57:56,2321,9293,92939,2020,1105.0,0501,05019,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2005019,2021-07-16,,0.0,1,休学
pjxyqwbj338,,4,转专业,5,保留学籍,2020-09-18 21:26:18,2320,202002,,2020,2320.0,9192,91928,2020.0,,,2020202110006zy班选拔2020级,,,2003018,2020-09-18,,,0,0
pjxuqwbj937,,16,班级异动,20,班级异动,2021-09-01 16:03:55,1102,0201,02018,2020,1102.0,0201,02018,2020.0,,,2021-09-01 00:00:00,4.0,转专业,2002018,2021-09-01,,0.0,1,休学
pjxpqxbj954,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:30:36,2321,202006,,2020,1109.0,0991,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,209601,2021-07-16,,0.0,1,休学
pjxyqwbk954,,4,转专业,6,专业分流,2022-08-20 10:11:18,1103,0305,03050,2020,1103.0,0305,03050,2020.0,,,分流,4.0,转专业,2003051嵌,2022-08-20,,0.0,1,休学
pjxsqxbj894,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:53:59,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006914,2021-07-16,,0.0,1,休学
pjxsqxbj982,,4,转专业,6,专业分流,2022-06-27 20:16:59,1106,0691,,2020,1106.0,0612,,2020.0,,,,4.0,转专业,2006121,2022-06-27,,0.0,1,休学
pjxyqwbj034,,4,转专业,6,专业分流,2022-08-20 15:43:13,1103,0301,03012,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003014软,2022-08-20,,0.0,1,休学
pjxpqxbj941,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:30:36,2321,202006,,2020,1109.0,0991,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,209601,2021-07-16,,0.0,1,休学
pjxwxxbj995,,18,学院异动,31,学籍从书院转入学院,2021-07-16 17:03:06,2321,9292,92920,2020,1102.0,0201,02016,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002911,2021-07-16,,0.0,1,休学
pjxyqwbk675,,4,转专业,6,专业分流,2022-08-12 11:17:15,1103,0305,03051,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003051网,2022-08-12,,0.0,1,休学
pjxyqxbj683,,11,留级,13,延长学制,2022-04-24 11:17:00,1105,0505,,2020,2323.0,202101,,2021.0,,,,4.0,转专业,219106,2022-04-24,,0.0,1,休学
pjxyqwbj435,,4,转专业,6,专业分流,2022-08-16 15:47:54,1103,0301,03011,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003012网,2022-08-16,,0.0,1,休学
pjxyqwbk793,,4,转专业,5,保留学籍,2020-09-18 21:25:43,2320,202002,,2020,2320.0,9192,91928,2020.0,,,2020202110006zy班选拔2020级,,,2003018,2020-09-18,,,0,0
pjxpqxbj997,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:30:36,2321,202006,,2020,1109.0,0991,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,209601,2021-07-16,,0.0,1,休学
pjxyqxbj195,,16,班级异动,20,班级异动,2022-04-03 12:18:54,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-12,4.0,转专业,2002012,2022-04-03,,0.0,0,0
pjxyqxbl763,,4,转专业,6,专业分流,2022-07-11 17:25:49,2323,202101,,2021,1116.0,1601,,2021.0,,,降级后重新进入学院,4.0,转专业,2116011,2022-07-11,,0.0,1,休学
pjxuqwbj496,,1,休学,1,休学,2023-03-29 11:49:52,1104,0404,,2020,,,,,0.0,0.0,,4.0,转专业,,2023-03-29,,1.0,0,0
pjxuqwbj674,,4,转专业,5,保留学籍,2020-09-18 21:49:19,2320,202003,,2020,2320.0,9195,91958,2020.0,,,2020202110006zy班选拔2020级,,,2004078,2020-09-18,,,0,0
pjxyqxbj052,,4,转专业,6,专业分流,2022-08-20 11:17:08,1103,0305,03056,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003051云,2022-08-20,,0.0,1,休学
pjxyqxbk236,,16,班级异动,20,班级异动,2022-04-03 12:27:34,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-14,4.0,转专业,2002014,2022-04-03,,0.0,0,0
pjxyqwbj351,,4,转专业,6,专业分流,2022-08-20 09:27:08,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003051W,2022-08-20,,0.0,1,休学
pjxqzxbj980,,18,学院异动,31,学籍从书院转入学院,2021-07-16 09:24:21,2320,9191,,2020,1108.0,0801,08011,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2008011,2021-07-16,,0.0,1,休学
pjxyqxbk075,,16,班级异动,20,班级异动,2022-04-03 12:30:56,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-15,4.0,转专业,2002015,2022-04-03,,0.0,0,0
pjxyqwbj022,,4,转专业,6,专业分流,2022-08-12 11:33:53,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003053W,2022-08-12,,0.0,1,休学
pjxpqxbj915,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:30:37,2321,202006,,2020,1109.0,0991,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,209601,2021-07-16,,0.0,1,休学
pjxtztbj987,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:31:55,1105,0505,,2020,528.0,2801,,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqwbj283,,4,转专业,6,专业分流,2022-08-20 11:17:08,1103,0305,03056,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003051云,2022-08-20,,0.0,1,休学
pjxyqwbk893,,4,转专业,6,专业分流,2022-08-12 15:54:31,1103,0305,,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003053云,2022-08-12,,0.0,1,休学
pjxsqxbj942,,4,转专业,6,专业分流,2022-06-27 20:13:00,1106,0691,,2020,1106.0,0611,,2020.0,,,,4.0,转专业,2006111,2022-06-27,,0.0,1,休学
pjxyqwbj085,,4,转专业,6,专业分流,2022-08-20 11:17:09,1103,0305,03056,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003051云,2022-08-20,,0.0,1,休学
pjxyqwbk624,,18,学院异动,31,学籍从书院转入学院,2022-07-13 23:39:33,1103,0305,03051,2021,1103.0,0305,03051,2021.0,,,分流,4.0,转专业,2103053,2022-07-13,,0.0,1,休学
pjxyqwbj695,,4,转专业,6,专业分流,2022-08-20 09:38:04,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003052W,2022-08-20,,0.0,1,休学
pjxyqxbk527,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:02:22,2321,9290,92909,2020,1114.0,1401,14019,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2014019,2021-07-16,,0.0,1,休学
pjxyqwbj598,,16,班级异动,20,班级异动,2022-07-11 21:15:44,1103,0301,03011,2020,1103.0,0305,03051,2020.0,,,班级异动,4.0,转专业,2003052,2022-07-11,,1.0,1,休学
pjxyqwbj089,,4,转专业,6,专业分流,2022-08-20 11:47:21,1103,0305,03056,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003052云,2022-08-20,,0.0,1,休学
pjxsqxbj877,,4,转专业,6,专业分流,2022-06-27 19:47:30,1106,0691,,2020,1106.0,0603,,2020.0,,,,4.0,转专业,2006031,2022-06-27,,0.0,1,休学
pjxsqxbj984,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:48:16,2321,9293,92938,2020,1105.0,0501,05018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2005018,2021-07-16,,0.0,1,休学
pjxyqwbk949,,13,延长学制,14,死亡,2024-05-23 19:16:38,1120,2001,,2020,1120.0,2001,,2021.0,,,本字[2023]xx号,4.0,转专业,2120012,2024-05-23,,0.0,0,0
pjxyqwbj926,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:36:10,2320,9197,91979,2020,1120.0,2003,20039,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2020039,2021-07-16,,0.0,1,休学
pjxyqwbj360,,16,班级异动,20,班级异动,2024-06-07 18:41:15,1103,0301,0301X,2020,,,,,,,班级异动,4.0,转专业,2003013数,2024-06-07,,0.0,1,休学
pjxyqwbj825,,4,转专业,6,专业分流,2022-08-20 15:02:58,1103,0301,03012,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003011软,2022-08-20,,0.0,1,休学
pjxyqwbj139,,4,转专业,6,专业分流,2022-08-12 10:56:02,1103,0305,03051,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003052W,2022-08-12,,0.0,1,休学
pjxpqxbj997,,18,学院异动,31,学籍从书院转入学院,2022-07-02 19:14:56,1109,0991,,2020,1109.0,0901,,2020.0,,,,4.0,转专业,2009011,2022-07-02,,0.0,1,休学
pjxyqxbk918,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:33:47,1105,0503,,2020,529.0,2902,,2020.0,,,1111,4.0,转专业,2005031,2022-07-12,,0.0,1,休学
pjxyqwbj665,,4,转专业,6,专业分流,2022-08-16 15:21:03,1103,0301,03011,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003011网,2022-08-16,,0.0,1,休学
pjxyqxbk231,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:49:05,1105,0501,05011,2020,529.0,2901,29011,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqwbj369,,4,转专业,6,专业分流,2022-08-20 16:09:35,1103,0301,03017,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003012网,2022-08-20,,0.0,1,休学
pjxyqwbj087,,4,转专业,6,专业分流,2022-08-20 10:04:17,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003053W,2022-08-20,,0.0,1,休学
pjxyqwbj441,,4,转专业,6,专业分流,2022-08-12 17:48:53,1103,0301,03011,2020,1103.0,0301,0301X,2020.0,,,分流,4.0,转专业,2003012数,2022-08-12,,0.0,1,休学
pjxxxxbj968,,18,学院异动,31,学籍从书院转入学院,2021-07-16 16:55:50,2321,9291,92910,2020,1101.0,0101,01901,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2001911,2021-07-16,,0.0,1,休学
pjwrqxbj919,,13,延长学制,14,死亡,2024-05-15 17:17:49,1117,1702,,2020,,,,2021.0,,,,4.0,转专业,2117021,2024-05-15,,0.0,0,0
pjxyqwbj627,,4,转专业,6,专业分流,2022-08-20 11:55:44,1103,0305,03056,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003053云,2022-08-20,,0.0,1,休学
pjxyqxbj828,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:31:52,1105,0505,,2020,528.0,2801,,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqwbk746,,16,班级异动,20,班级异动,2022-04-28 14:51:30,1120,2003,,2020,1120.0,2003,2003,2020.0,,,添加专业方向,4.0,转专业,2020032,2022-04-28,,0.0,1,休学
pjxpqxbj925,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:36:58,2321,9296,,2020,1109.0,0902,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2009021,2021-07-16,,0.0,1,休学
pjxyqxbj507,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:45:07,2321,9292,92928,2020,1102.0,0201,02018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002018,2021-07-16,,0.0,1,休学
pjxsqxbj771,,18,学院异动,31,学籍从书院转入学院,2021-07-16 12:02:57,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006915,2021-07-16,,0.0,1,休学
pjxpqxbj926,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:30:36,2321,202006,,2020,1109.0,0991,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,209601,2021-07-16,,0.0,1,休学
pjxyqxbl858,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:31:54,1105,0505,,2020,528.0,2801,,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqwbk661,,4,转专业,6,专业分流,2022-08-12 11:33:53,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003053W,2022-08-12,,0.0,1,休学
pjxuqwbj564,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:48:16,2321,9293,92938,2020,1105.0,0501,05018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2005018,2021-07-16,,0.0,1,休学
pjxuqwbj551,,4,转专业,5,保留学籍,2020-09-18 21:49:31,2320,202003,,2020,2320.0,9195,91958,2020.0,,,2020202110006zy班选拔2020级,,,2004078,2020-09-18,,,0,0
pjxyqwbk955,,4,转专业,5,保留学籍,2021-07-12 09:24:01,2320,202002,,2020,1118.0,1803,18039,2020.0,,,网络空间安全实验班选拔后学籍异动,,,2018039,2021-07-12,,,0,0
pjxyqwbj188,,13,延长学制,14,死亡,2024-07-10 10:16:16,1120,2001,,2020,,,,2021.0,,,,4.0,转专业,2120012,2024-07-10,,0.0,0,0
pjxyqwbj913,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:36:10,2320,9197,91979,2020,1120.0,2003,20039,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2020039,2021-07-16,,0.0,1,休学
pjxyqwbk665,,4,转专业,6,专业分流,2022-08-12 15:54:32,1103,0305,,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003053云,2022-08-12,,0.0,1,休学
pjxyqxbk936,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:48:16,2321,9293,92938,2020,1105.0,0501,05018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2005018,2021-07-16,,0.0,1,休学
pjxyqwbj598,,4,转专业,5,保留学籍,2022-08-17 10:54:57,1103,0301,,2020,1103.0,0305,03051,2020.0,,,20212022200052020级转专业,,,2003052,2022-08-17,,,0,0
pjxyqxbk000,,13,延长学制,14,死亡,2024-05-15 16:59:39,1102,0203,,2020,,,,2021.0,,,,4.0,转专业,2102031,2024-05-15,,0.0,0,0
pjxyqwbk923,,4,转专业,6,专业分流,2022-08-16 15:55:07,1103,0301,03011,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003013网,2022-08-16,,0.0,1,休学
pjwrqxbj973,,4,转专业,5,保留学籍,2020-09-18 21:09:10,2321,202009,,2020,2321.0,9292,92928,2020.0,,,2020202110006zy班选拔2020级,,,2002018,2020-09-18,,,0,0
pjxyqwbk953,,4,转专业,6,专业分流,2022-08-20 11:55:44,1103,0305,03056,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003053云,2022-08-20,,0.0,1,休学
pjxyqxbk294,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:33:47,1105,0503,,2020,529.0,2902,,2020.0,,,1111,4.0,转专业,2005031,2022-07-12,,0.0,1,休学
pjxyqxbj991,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:31:52,1105,0505,,2020,528.0,2801,,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqxbl889,,16,班级异动,20,班级异动,2022-04-03 12:30:57,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-15,4.0,转专业,2002015,2022-04-03,,0.0,0,0
pjxyqxbk555,,4,转专业,5,保留学籍,2020-09-18 21:07:27,2321,202001,,2020,2321.0,9291,92918,2020.0,,,2020202110006zy班选拔2020级,,,2001018,2020-09-18,,,0,0
pjxyqxbk319,,4,转专业,5,保留学籍,2021-09-03 17:24:08,1102,0201,,2020,1116.0,1602,16029,2020.0,,,20212022100012020级x空间科学实验班学生选拔,,,2016029,2021-09-03,,,0,0
pjxyqwbj602,,4,转专业,6,专业分流,2022-08-20 15:14:00,1103,0301,03012,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003012软,2022-08-20,,0.0,1,休学
pjxyqwbj903,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:36:10,2320,9197,91979,2020,1120.0,2003,20039,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2020039,2021-07-16,,0.0,1,休学
pjxyqwbj412,,4,转专业,6,专业分流,2022-08-20 09:38:04,1103,0305,03052,2020,1103.0,0305,03052,2020.0,,,分流,4.0,转专业,2003052W,2022-08-20,,0.0,1,休学
pjxsqxbj971,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:40:20,2321,9295,,2020,1105.0,0504,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2005049,2021-07-16,,0.0,1,休学
pjxyqwbj769,,16,班级异动,20,班级异动,2022-04-28 15:01:31,1120,2003,,2020,1120.0,2003,2003,2020.0,,,添加专业方向,4.0,转专业,2020031,2022-04-28,,0.0,1,休学
pjxwxxbj916,,18,学院异动,31,学籍从书院转入学院,2021-07-16 17:03:08,2321,9292,92920,2020,1102.0,0201,02016,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002911,2021-07-16,,0.0,1,休学
pjxyqxbj710,,13,延长学制,14,死亡,2024-07-09 17:22:19,1116,1602,16021,2020,,,,2021.0,,,,4.0,转专业,2116021,2024-07-09,,0.0,0,0
pjxyqxbk491,,4,转专业,5,保留学籍,2020-09-18 18:31:25,2321,202001,,2020,2321.0,9291,92919,2020.0,,,2020202110007教学改革试点班选拔2020级,,,2001019,2020-09-18,,,0,0
pjxyqxbk023,,16,班级异动,20,班级异动,2022-04-03 12:30:56,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-15,4.0,转专业,2002015,2022-04-03,,0.0,0,0
pjxyqwbj252,,4,转专业,6,专业分流,2022-08-16 15:47:54,1103,0301,03011,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003012网,2022-08-16,,0.0,1,休学
pjxwxxbj940,,18,学院异动,31,学籍从书院转入学院,2021-07-16 17:03:08,2321,9292,92920,2020,1102.0,0201,02016,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002911,2021-07-16,,0.0,1,休学
pjxyqwbj397,,13,延长学制,14,死亡,2024-05-15 17:15:09,1118,1803,02,2020,,,,2021.0,,,,4.0,转专业,2118031,2024-05-15,,0.0,0,0
pjxsqxbj904,,4,转专业,6,专业分流,2022-06-27 20:16:59,1106,0691,,2020,1106.0,0612,,2020.0,,,,4.0,转专业,2006121,2022-06-27,,0.0,1,休学
pjxqqxbj982,,4,转专业,6,专业分流,2021-03-29 14:58:21,2320,202005,,2020,1108.0,0803,,2020.0,,,,4.0,转专业,2008031,2021-03-26,,0.0,1,休学
pjxuqwbj651,,4,转专业,5,保留学籍,2020-09-18 21:50:03,2320,202003,,2020,2320.0,9195,91958,2020.0,,,2020202110006zy班选拔2020级,,,2004078,2020-09-18,,,0,0
pjxyqwbk543,,4,转专业,6,专业分流,2022-08-20 15:43:13,1103,0301,03012,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003014软,2022-08-20,,0.0,1,休学
pjxuqwbj903,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:34:10,2320,9195,91958,2020,1104.0,0407,04078,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2004078,2021-07-16,,0.0,1,休学
pjxqqxbj967,,4,转专业,6,专业分流,2021-03-29 14:50:11,2320,202005,,2020,1108.0,0802,,2020.0,,,,4.0,转专业,2008021,2021-03-26,,0.0,1,休学
pjxyqxbk171,,16,班级异动,20,班级异动,2022-04-03 12:27:34,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-14,4.0,转专业,2002014,2022-04-03,,0.0,0,0
pjxqqxbj949,,4,转专业,6,专业分流,2021-03-29 14:58:21,2320,202005,,2020,1108.0,0803,,2020.0,,,,4.0,转专业,2008031,2021-03-26,,0.0,1,休学
pjxuqwbj526,,4,转专业,5,保留学籍,2022-07-12 20:15:48,1104,0402,,2020,1104.0,0403,,2020.0,,,20212022200052020级转专业,,,2004032,2022-07-12,,,0,0
pjxyqwbj755,,4,转专业,6,专业分流,2022-08-16 16:17:50,1103,0301,03011,2020,1103.0,0301,03015,2020.0,,,分流,4.0,转专业,2003011嵌,2022-08-16,,0.0,1,休学
pjxrqxbj909,,4,转专业,6,专业分流,2022-07-11 10:34:36,1107,0791,,2020,1107.0,0701,07011,2020.0,,,,4.0,转专业,2007011,2022-07-11,,0.0,1,休学
pjxyqxbj160,,4,转专业,5,保留学籍,2020-09-18 21:08:27,2321,202001,,2020,2321.0,92902,92908,2020.0,,,2020202110006zy班选拔2020级,,,2014028,2020-09-18,,,0,0
pjxyqxbj922,,4,转专业,5,保留学籍,2020-09-18 21:05:56,2321,202001,,2020,2321.0,92902,92908,2020.0,,,2020202110006zy班选拔2020级,,,2014028,2020-09-18,,,0,0
pjxsqxbj823,,18,学院异动,31,学籍从书院转入学院,2021-07-16 17:33:39,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006913,2021-07-16,,0.0,1,休学
pjxsqxbj899,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:53:59,2320,202004,,2020,1106.0,0691,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2006914,2021-07-16,,0.0,1,休学
pjxsqxbj940,,4,转专业,6,专业分流,2022-06-27 19:53:36,1106,0691,,2020,1106.0,0604,,2020.0,,,,4.0,转专业,2006041,2022-06-27,,0.0,1,休学
pjxyqwbk925,,13,延长学制,14,死亡,2024-05-20 10:24:42,1103,0305,03056,2020,,,,2021.0,,,,4.0,转专业,2103053云,2024-05-20,,0.0,0,0
pjxyqxbk797,,4,转专业,5,保留学籍,2020-09-18 21:45:31,2321,202001,,2020,2320.0,9194,91948,2020.0,,,2020202110006zy班选拔2020级,,,2003058,2020-09-18,,,0,0
pjwtqxbj971,,2,复学,3,退学,2023-09-04 14:48:37,1115,1501,,2020,1115.0,1501,,2021.0,1.0,休学,,4.0,转专业,2115011,2023-09-04,,0.0,1,休学
pjxyqxbj921,,4,转专业,5,保留学籍,2022-07-12 17:19:14,1105,0501,,2020,529.0,2902,,2020.0,,,20212022200052020级转专业,,,2005031,2022-07-12,,,0,0
pjxyqxbk080,,16,班级异动,20,班级异动,2022-07-11 17:10:38,2323,202101,,2021,529.0,2902,,2021.0,,,1111,4.0,转专业,2105031,2022-07-11,,0.0,1,休学
pjxyqxbj846,,4,转专业,5,保留学籍,2020-09-18 18:31:06,2321,202001,,2020,2321.0,9291,92919,2020.0,,,2020202110007教学改革试点班选拔2020级,,,2001019,2020-09-18,,,0,0
pjxyqwbk701,,13,延长学制,14,死亡,2024-07-10 10:30:29,1103,0305,03055,2020,,,,2021.0,,,,4.0,转专业,2103054网,2024-07-10,,0.0,0,0
pjxyqwbk862,,4,转专业,6,专业分流,2022-08-20 15:02:58,1103,0301,03012,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003011软,2022-08-20,,0.0,1,休学
pjxsqxbj777,,4,转专业,6,专业分流,2022-06-27 19:38:54,1106,0691,,2020,1106.0,0602,,2020.0,,,,4.0,转专业,2006021,2022-06-27,,0.0,1,休学
