KS_XH(学号),KS_YYJB(语言级别),KS_CJ(成绩)
pjxyqxbj006,1,543.0
pjxyqwbj412,1,511.0
pjxyqxbj002,1,417.0
pjxyqxbj001,1,460.0
pjxyqwbj047,1,516.0
pjxsqxbj815,1,466.0
pjxuqwbj536,1,544.0
pjxyqxbk328,1,456.0
pjxyqxbk338,1,471.0
pjxyqxbk370,1,450.0
pjxuqwbj540,1,536.0
pjxsqxbj823,1,382.0
pjxyqxbk316,1,451.0
pjxsqxbj821,1,477.0
pjxuqwbj539,1,525.0
pjxyqxbk346,1,422.0
pjxwxxbj916,1,531.0
pjxyqxbk350,1,562.0
pjxyqwbj044,1,521.0
pjxuqwbj538,1,423.0
pjxyqxbj707,1,605.0
pjxuqwbj537,1,575.0
pjxsqxbj829,1,555.0
pjxyqwbj036,1,569.0
pjxyqwbj043,1,560.0
pjxyqxbk343,1,500.0
pjxyqwbj035,1,542.0
pjxyqwbj038,1,536.0
pjxsqxbj966,1,620.0
pjxyqwbj276,1,446.0
pjxyqxbk775,1,620.0
pjxyqxbk778,1,500.0
pjxuqwbj622,1,439.0
pjxuqwbj624,1,513.0
pjxyqxbk772,1,481.0
pjxyqxbj933,1,479.0
pjxsqxbj944,1,551.0
pjxyqxbk760,1,430.0
pjxyqwbj283,1,550.0
pjxyqwbj288,1,0.0
pjxuqwbj618,1,526.0
pjxyqxbk759,1,453.0
pjxyqwbj285,1,455.0
pjxyqxbk765,1,389.0
pjxyqxbk764,1,392.0
pjxyqxbl709,1,562.0
pjxyqxbl712,1,504.0
pjxyqxbk997,1,581.0
pjxyqxbk995,1,505.0
pjxrqxbj939,1,516.0
pjxyqwbj409,1,489.0
pjxuqwbj679,1,489.0
pjxyqwbj410,1,452.0
pjxyqxbk993,1,538.0
pjxwxxbj972,1,503.0
pjxyqxbk992,1,449.0
pjxyqxbk991,1,659.0
pjxuqwbj833,1,565.0
pjxyqwbj408,1,544.0
pjxyqwbj407,1,577.0
pjxwxxbj970,1,571.0
pjxuqwbj677,1,531.0
pjxuqwbj676,1,412.0
pjxqqxbj970,1,522.0
pjxyqwbj403,1,550.0
pjxyqxbk981,1,504.0
pjxyqxbk706,1,501.0
pjxrqxbj911,1,561.0
pjxyqxbk720,1,540.0
pjxyqxbk705,1,569.0
pjxsqxbj920,1,518.0
pjxyqwbj272,1,505.0
pjxyqwbj249,1,525.0
pjxxztfj972,1,492.0
pjxyqxbk703,1,507.0
pjxyqwbj255,1,606.0
pjxyqxbj638,1,466.0
pjxrqxbj909,1,582.0
pjxuqwbj526,1,483.0
pjxyqxbj608,1,510.0
pjxyqwbj775,1,466.0
pjxyqwbj788,1,546.0
pjxvzxbj996,1,507.0
pjxyqxbj557,1,440.0
pjxyqxbj576,1,492.0
pjxuqwbj980,1,334.0
pjxtzxbj997,1,477.0
pjxyqwbj763,1,424.0
pjxyqwbj782,1,508.0
pjxyqxbj607,1,515.0
pjxyqxbj969,1,425.0
pjxyqxbj575,1,580.0
pjxyqxbj559,1,415.0
pjxyqxbj586,1,477.0
pjxyqxbj577,1,459.0
pjxyqxbj610,1,406.0
pjxyqxbj967,1,377.0
pjxyqwbj790,1,437.0
pjxuqwbj976,1,504.0
pjxyqxbj968,1,441.0
pjxuqwbj845,1,273.0
pjxyqwbj764,1,444.0
pjxwxxbj981,1,464.0
pjwtqxbj968,1,540.0
pjxyqwbj401,1,494.0
pjxyqxbk974,1,451.0
pjxuqwbj516,1,499.0
pjxyqxbk971,1,441.0
pjxuqwbj673,1,499.0
pjxyqwbj400,1,543.0
pjxyqxbj548,1,459.0
pjwtqxbj967,1,447.0
pjxyqxbk969,1,478.0
pjxyqwbj398,1,505.0
pjxyqxbk965,1,457.0
pjwtqxbj965,1,511.0
pjxyqwbj396,1,516.0
pjxyqwbj395,1,572.0
pjxyqwbj394,1,584.0
pjxyqxbk962,1,595.0
pjxyqwbj108,1,500.0
pjxyqxbk961,1,518.0
pjxuqwbj695,1,364.0
pjxyqxbk723,1,554.0
pjxyqwbj797,1,483.0
pjxyqwbj267,1,445.0
pjxyqxbj928,1,459.0
pjxyqxbk713,1,518.0
pjxyqwbj261,1,510.0
pjxyqxbk700,1,523.0
pjxqzxbj975,1,470.0
pjxyqwbj216,1,540.0
pjxrqxbj905,1,0.0
pjxyqxbk685,1,578.0
pjxyqwbj799,1,479.0
pjxyqwbj269,1,531.0
pjxyqxbk717,1,587.0
pjxyqxbk695,1,529.0
pjxyqxbj562,1,459.0
pjxyqxbk731,1,575.0
pjxyqxbj636,1,421.0
pjxyqwbj266,1,479.0
pjxyqwbj277,1,488.0
pjxsqxbj968,1,514.0
pjwrqxbj918,1,578.0
pjxyqxbj095,1,541.0
pjwtqxbj931,1,563.0
pjxsqxbj971,1,486.0
pjxuqwbj952,1,460.0
pjwrqxbj926,1,523.0
pjxyqxbk733,1,489.0
pjwrqxbj919,1,528.0
pjxyqxbk382,1,520.0
pjxsqxbj970,1,494.0
pjwtqxbj929,1,480.0
pjwrqxbj925,1,514.0
pjxuqwbj927,1,533.0
pjxyqxbk375,1,583.0
pjwrqxbj923,1,565.0
pjxyqxbk378,1,589.0
pjxuqwbj925,1,337.0
pjxyqxbk403,1,449.0
pjwtqxbj925,1,517.0
pjxuqwbj461,1,517.0
pjxyqxbk402,1,536.0
pjxxzxbj998,1,623.0
pjxqqxbj969,1,511.0
pjxyqxbk958,1,518.0
pjxyqxbk953,1,428.0
pjxyqxbj273,1,394.0
pjxyqxbj051,1,575.0
pjxqqxbj967,1,569.0
pjxuqwbj878,1,422.0
pjxuqwbj666,1,495.0
pjxyqwbj391,1,517.0
pjxyqwbj388,1,517.0
pjxrqxbj963,1,548.0
pjxsqxbj908,1,505.0
pjxuqwbj830,1,564.0
pjxyqwbj709,1,492.0
pjxyqxbj533,1,550.0
pjxsqxbj886,1,555.0
pjxyqxbj528,1,534.0
pjxqqxbj997,1,504.0
pjxyqxbj529,1,443.0
pjxpqxbj985,1,488.0
pjwrqxbj974,1,531.0
pjxyqxbj729,1,575.0
pjxyqxbj717,1,496.0
pjxyqxbj728,1,548.0
pjxyqwbj867,1,615.0
pjxyqxbj731,1,599.0
pjxyqwbj853,1,630.0
pjxyqxbj722,1,633.0
pjxyqxbj726,1,543.0
pjxyqxbj725,1,488.0
pjxyqxbj709,1,552.0
pjxyqwbj852,1,608.0
pjxyqxbj714,1,549.0
pjxyqxbj712,1,531.0
pjxyqxbj724,1,632.0
pjxyqwbj864,1,534.0
pjxyqxbj733,1,569.0
pjxyqwbj508,1,605.0
pjxyqwbj506,1,602.0
pjxyqxbj120,1,544.0
pjxyqxbj121,1,500.0
pjxyqwbj500,1,482.0
pjxyqxbj117,1,570.0
pjxyqxbj106,1,537.0
pjxyqwbj492,1,479.0
pjxyqxbj932,1,481.0
pjxyqwbj971,1,486.0
pjxuqwbj619,1,495.0
pjxyqxbk783,1,498.0
pjxuqwbj953,1,503.0
pjxuqwbj954,1,415.0
pjxxztbj994,1,468.0
pjxyqxbj927,1,543.0
pjxyqxbk743,1,451.0
pjxyqxbk742,1,423.0
pjxyqxbk748,1,518.0
pjxyqxbk746,1,477.0
pjxtztbj996,1,341.0
pjxyqxbk745,1,479.0
pjxuqwbj950,1,490.0
pjxyqxbk753,1,417.0
pjxyqxbk782,1,435.0
pjxyqwbj278,1,396.0
pjxyqxbk780,1,561.0
pjxuqwbj621,1,390.0
pjxyqxbk779,1,358.0
pjxyqwbj279,1,417.0
pjxyqwbj293,1,408.0
pjxwzxbj989,1,492.0
pjxsqxbj942,1,540.0
pjxyqwbj236,1,640.0
pjxyqxbj546,1,538.0
pjxyqwbk520,1,523.0
pjxyqwbj201,1,552.0
pjxyqxbk649,1,475.0
pjxyqxbk640,1,564.0
pjxyqxbj114,1,445.0
pjxyqwbj243,1,517.0
pjxyqwbj219,1,538.0
pjxyqwbj209,1,569.0
pjxyqxbk663,1,564.0
pjxyqxbj119,1,459.0
pjxyqxbk665,1,526.0
pjxyqxbk662,1,483.0
pjxyqxbk634,1,600.0
pjxyqxbj098,1,543.0
pjxyqxbk676,1,621.0
pjxyqwbj755,1,570.0
pjwrqxbj980,1,408.0
pjxyqxbj519,1,534.0
pjxyqxbj520,1,552.0
pjxyqxbj521,1,597.0
pjxuqwbj831,1,543.0
pjxyqxbj522,1,538.0
pjxyqxbk167,1,501.0
pjxrqxbj962,1,484.0
pjxyqxbj524,1,447.0
pjxwxxbj993,1,486.0
pjxsqxbj905,1,588.0
pjxyqxbl673,1,568.0
pjxqzxbj989,1,549.0
pjwtqxbj979,1,512.0
pjwtqxbj988,1,478.0
pjxsqxbj906,1,607.0
pjxuqwbj826,1,549.0
pjxyqxbj512,1,547.0
pjxrqxbj961,1,615.0
pjwrqxbj978,1,582.0
pjxyqwbk772,1,497.0
pjxyqxbj511,1,508.0
pjxyqxbj105,1,501.0
pjxyqxbj096,1,458.0
pjxyqwbj487,1,573.0
pjxyqwbj488,1,454.0
pjxyqwbj486,1,491.0
pjxyqxbj093,1,422.0
pjxyqwbj485,1,598.0
pjxyqxbk553,1,531.0
pjxyqwbj163,1,542.0
pjxqzxbj984,1,428.0
pjwrqxbj994,1,498.0
pjxyqxbk539,1,482.0
pjxyqxbk549,1,607.0
pjxwxxbj945,1,470.0
pjxyqxbk556,1,505.0
pjxwxxbj946,1,608.0
pjxqzxbj983,1,430.0
pjxyqxbk535,1,451.0
pjwrqxbj993,1,453.0
pjxyqwbj146,1,520.0
pjxyqxbk537,1,513.0
pjxqqxbj964,1,522.0
pjxyqxbk543,1,537.0
pjxsqxbj989,1,435.0
pjxuqwbj583,1,615.0
pjxyqwbj171,1,492.0
pjxyqwbj174,1,590.0
pjxyqxbk562,1,499.0
pjxyqxbk571,1,467.0
pjxyqxbk566,1,504.0
pjxyqwbj172,1,477.0
pjxyqwbj169,1,459.0
pjxyqwbj563,1,556.0
pjxyqwbj577,1,454.0
pjxyqxbj223,1,584.0
pjxuqwbj745,1,489.0
pjxyqxbj217,1,519.0
pjxyqxbj228,1,557.0
pjxuqwbj757,1,423.0
pjxyqwbj579,1,523.0
pjxyqxbj230,1,464.0
pjxyqxbj243,1,438.0
pjxyqxbj224,1,561.0
pjxyqxbj241,1,372.0
pjxyqxbk681,1,573.0
pjxyqxbk679,1,568.0
pjxyqxbk661,1,483.0
pjxuqwbj608,1,562.0
pjxyqxbk637,1,533.0
pjxyqwbj207,1,444.0
pjxpqxbj955,1,497.0
pjxyqxbk644,1,505.0
pjxyqxbk669,1,378.0
pjxyqxbk630,1,485.0
pjxyqxbj682,1,526.0
pjxuqwbj605,1,395.0
pjxyqxbk629,1,467.0
pjxyqwbj237,1,543.0
pjxyqwbj205,1,571.0
pjxyqxbk657,1,410.0
pjxyqxbk656,1,570.0
pjxyqxbk627,1,544.0
pjwtqxbj918,1,413.0
pjxyqxbk162,1,389.0
pjxyqxbj537,1,536.0
pjxsqxbj965,1,526.0
pjxsqxbj922,1,574.0
pjwrqxbj965,1,562.0
pjxyqxbj102,1,486.0
pjxuqwbj818,1,565.0
pjxyqwbj734,1,573.0
pjxyqwbj988,1,520.0
pjxyqwbj732,1,505.0
pjxuqwbj918,1,479.0
pjxyqxbj492,1,511.0
pjxyqwbk967,1,510.0
pjxyqwbj104,1,456.0
pjxyqxbk533,1,544.0
pjxyqxbk551,1,442.0
pjxuqwbj582,1,570.0
pjxyqxbk552,1,519.0
pjxxxxbj944,1,447.0
pjxyqwbj092,1,529.0
pjxyqwbj149,1,546.0
pjxrqxbj901,1,619.0
pjxyqxbk531,1,542.0
pjxyqxbk525,1,484.0
pjxqqxbj961,1,569.0
pjxyqxbk469,1,541.0
pjwrqxbj991,1,517.0
pjxyqwbj139,1,533.0
pjxsqxbj934,1,522.0
pjwrqxbj920,1,471.0
pjxyqxbk401,1,496.0
pjxsqxbj936,1,580.0
pjxyqxbk767,1,480.0
pjxyqxbl727,1,630.0
pjxyqxbj929,1,468.0
pjxyqxbk389,1,585.0
pjxyqwbj053,1,520.0
pjxyqxbj818,1,605.0
pjxyqxbj817,1,445.0
pjxyqxbj554,1,535.0
pjxyqxbj225,1,509.0
pjxuqwbj840,1,544.0
pjxuqwbj748,1,484.0
pjxsqxbj932,1,572.0
pjxyqxbk373,1,490.0
pjxyqxbj815,1,458.0
pjwtqxbj928,1,563.0
pjxyqxbk399,1,538.0
pjxsqxbj801,1,515.0
pjwtqxbj935,1,545.0
pjxyqwbj052,1,610.0
pjxuqwbj881,1,478.0
pjxqqxbj983,1,482.0
pjxyqxbj347,1,346.0
pjxsqxbj882,1,546.0
pjxyqxbj348,1,465.0
pjxyqxbj345,1,459.0
pjxsqxbj881,1,506.0
pjxuqwbj786,1,387.0
pjxyqwbj651,1,536.0
pjxyqxbj340,1,577.0
pjxyqxbj334,1,450.0
pjxyqxbj333,1,464.0
pjxyqwbj648,1,581.0
pjxuqwbj788,1,509.0
pjxyqwbj660,1,543.0
pjxyqxbj355,1,519.0
pjxyqxbj337,1,477.0
pjxyqxbj358,1,456.0
pjxuqwbj785,1,446.0
pjxyqxbj330,1,501.0
pjxyqxbj323,1,372.0
pjxyqxbj325,1,495.0
pjxyqwbj632,1,447.0
pjxyqwbj631,1,361.0
pjxyqwbj628,1,523.0
pjxuqwbj781,1,471.0
pjxsqxbj874,1,554.0
pjxyqxbj505,1,490.0
pjwrqxbj977,1,494.0
pjxpqxbj981,1,544.0
pjxwxxbj992,1,588.0
pjxyqxbj506,1,483.0
pjxyqxbj501,1,499.0
pjxyqwbj744,1,500.0
pjwtqxbj977,1,465.0
pjwtqxbj984,1,510.0
pjxuqwbj805,1,441.0
pjxyqwbj742,1,352.0
pjxqqxbj996,1,507.0
pjxyqwbj741,1,516.0
pjxyqxbj443,1,490.0
pjxyqwbj739,1,550.0
pjxqzxbj994,1,431.0
pjxyqwbj101,1,518.0
pjxyqwbj156,1,409.0
pjxsqxbj983,1,556.0
pjxyqxbk520,1,579.0
pjxpqxbj925,1,413.0
pjxuqwbj992,1,510.0
pjxuqwbj993,1,571.0
pjxqqxbj959,1,529.0
pjxuqwbj581,1,553.0
pjxwxxbj944,1,461.0
pjxyqwbj155,1,552.0
pjxuqwbj796,1,437.0
pjxsqxbj941,1,463.0
pjxyqwbj967,1,438.0
pjxyqwbj274,1,419.0
pjxuqwbj609,1,415.0
pjxsqxbj940,1,545.0
pjxuqwbj610,1,525.0
pjxyqxbj080,1,430.0
pjxyqwbj459,1,564.0
pjxuqwbj717,1,490.0
pjxyqxbj063,1,404.0
pjxyqxbj645,1,516.0
pjxuqwbj698,1,569.0
pjxyqwbj463,1,436.0
pjxuqwbj928,1,458.0
pjxyqxbj058,1,549.0
pjxyqxbj088,1,465.0
pjxyqxbj089,1,474.0
pjxyqxbj082,1,462.0
pjxyqxbj827,1,477.0
pjxyqxbj314,1,560.0
pjxyqxbj305,1,410.0
pjxyqwbj622,1,493.0
pjxsqxbj760,1,301.0
pjxyqwbj616,1,546.0
pjxyqxbj320,1,510.0
pjxqqxbj979,1,422.0
pjxyqwbj602,1,591.0
pjxyqxbj288,1,525.0
pjxyqxbj286,1,535.0
pjxyqxbj293,1,501.0
pjxyqxbj290,1,560.0
pjxyqxbj283,1,480.0
pjxyqxbj285,1,478.0
pjxyqwbj608,1,527.0
pjxqqxbj981,1,451.0
pjxyqxbj361,1,560.0
pjxyqxbj312,1,575.0
pjxxztbj998,1,418.0
pjxyqwbj624,1,539.0
pjxuqwbj778,1,476.0
pjxyqxbk442,1,470.0
pjxyqxbk445,1,542.0
pjxyqxbk448,1,552.0
pjxsqxbj887,1,507.0
pjwrqxbj983,1,552.0
pjxyqwbj737,1,475.0
pjxyqxbj496,1,432.0
pjxyqwbj713,1,577.0
pjxyqxbj490,1,440.0
pjxyqwbj733,1,512.0
pjxyqxbj491,1,516.0
pjwtqxbj987,1,519.0
pjxyqxbj483,1,529.0
pjxyqxbj484,1,439.0
pjxsqxbj897,1,510.0
pjxsqxbj894,1,530.0
pjxwxxbj995,1,591.0
pjxyqxbj478,1,546.0
pjxyqxbj476,1,527.0
pjxyqwbj726,1,533.0
pjxpqxbj976,1,526.0
pjwtqxbj985,1,554.0
pjxyqxbj605,1,438.0
pjxqqxbj991,1,547.0
pjxyqxbj485,1,512.0
pjxsqxbj899,1,574.0
pjxyqxbj379,1,401.0
pjxyqwbj133,1,516.0
pjxyqxbk481,1,527.0
pjxyqxbk454,1,457.0
pjxyqxbk479,1,382.0
pjxuqwbj585,1,450.0
pjxpqxbj924,1,496.0
pjxyqxbk458,1,478.0
pjxyqxbk470,1,500.0
pjxyqxbk464,1,460.0
pjxyqwbj497,1,420.0
pjxyqxbk513,1,455.0
pjxqzxbj980,1,266.0
pjxyqwbj130,1,527.0
pjxyqwbj159,1,412.0
pjxyqwbk808,1,509.0
pjxyqwbk812,1,573.0
pjwtqxbj946,1,507.0
pjwtqxbj957,1,559.0
pjxyqwbk793,1,546.0
pjxyqwbk792,1,497.0
pjxyqxbk011,1,563.0
pjxyqwbk781,1,504.0
pjxyqxbk155,1,454.0
pjxyqxbk000,1,572.0
pjxyqxbk268,1,446.0
pjxyqwbj621,1,419.0
pjxyqwbj611,1,526.0
pjxyqxbj279,1,471.0
pjxyqxbj282,1,455.0
pjxyqwbj605,1,469.0
pjxuqwbj774,1,490.0
pjxyqxbj278,1,497.0
pjxsqxbj877,1,511.0
pjxyqwbj642,1,561.0
pjxyqwbj640,1,507.0
pjxuqwbj784,1,557.0
pjxsqxbj880,1,514.0
pjxsqxbj872,1,464.0
pjxyqwbj617,1,536.0
pjxyqxbj296,1,419.0
pjxyqwbj615,1,457.0
pjxyqxbj301,1,477.0
pjxyqxbj294,1,459.0
pjxyqwbj634,1,393.0
pjxyqxbj327,1,469.0
pjxyqwbk717,1,512.0
pjxyqxbj540,1,570.0
pjxyqxbl731,1,466.0
pjxuqwbj986,1,558.0
pjxyqwbj868,1,358.0
pjwtqxbj976,1,458.0
pjxyqwbj336,1,445.0
pjxyqxbj979,1,483.0
pjxqqxbj989,1,522.0
pjxyqxbj455,1,428.0
pjxqqxbj998,1,418.0
pjxyqxbj978,1,481.0
pjxsqxbj929,1,463.0
pjxyqxbk211,1,448.0
pjxrqxbj957,1,575.0
pjxyqxbj981,1,491.0
pjxyqxbj440,1,493.0
pjxuqwbj566,1,461.0
pjwrqxbj911,1,457.0
pjxyqwbj100,1,566.0
pjxyqxbk486,1,527.0
pjxuqwbj558,1,411.0
pjxyqwbj126,1,581.0
pjxwxxbj938,1,575.0
pjxyqwbj125,1,568.0
pjxyqwbj158,1,576.0
pjxyqxbk472,1,563.0
pjxyqxbk534,1,521.0
pjxyqwbj646,1,466.0
pjxyqxbl970,1,569.0
pjxuqwbj499,1,531.0
pjxxzxkj998,1,502.0
pjxuqwbj505,1,459.0
pjxuqwbj500,1,522.0
pjxyqxbl952,1,588.0
pjxyqxbl950,1,502.0
pjxuqwbj495,1,609.0
pjxyqwbk720,1,634.0
pjxuqwbj525,1,551.0
pjxsqxbj873,1,597.0
pjxsqxbj758,1,333.0
pjxyqwbj625,1,499.0
pjxyqxbj315,1,445.0
pjxyqxbj317,1,434.0
pjxyqwbj627,1,521.0
pjxyqxbj319,1,358.0
pjxyqwbj604,1,422.0
pjxuqwbj783,1,443.0
pjxyqxbj780,1,512.0
pjxyqxbj765,1,524.0
pjxyqxbj762,1,408.0
pjxuqwbj892,1,605.0
pjxvzxbj997,1,550.0
pjxwzxbj993,1,449.0
pjxuqwbj905,1,467.0
pjxyqxbj772,1,499.0
pjxyqwbj876,1,440.0
pjxyqwbj877,1,517.0
pjxyqwbj890,1,465.0
pjxyqwbj989,1,494.0
pjxyqxbj973,1,537.0
pjxyqxbj469,1,441.0
pjxyqxbj470,1,497.0
pjxyqwbj993,1,467.0
pjxyqxbj460,1,516.0
pjxuqwbj811,1,430.0
pjxyqwbj897,1,535.0
pjxuqwbj917,1,511.0
pjxyqwbj718,1,518.0
pjxyqxbj464,1,599.0
pjxyqwbj710,1,462.0
pjxyqxbj465,1,485.0
pjxuqwbj915,1,525.0
pjxyqwbj203,1,495.0
pjxuqwbj916,1,513.0
pjxuqwbj914,1,486.0
pjxyqxbj807,1,406.0
pjxsqxbj982,1,564.0
pjxyqxbj989,1,421.0
pjxyqxbj987,1,424.0
pjxsqxbj844,1,566.0
pjxuqwbj559,1,578.0
pjxuqwbj574,1,559.0
pjxyqxbk474,1,571.0
pjwrqxbj985,1,566.0
pjxyqxbj985,1,457.0
pjxsqxbj981,1,536.0
pjxqqxbj957,1,548.0
pjxyqwbj122,1,523.0
pjxyqxbk468,1,497.0
pjwtqxbj998,1,545.0
pjxsqxbj939,1,324.0
pjxwxxbj940,1,457.0
pjxyqxbk457,1,491.0
pjxwxxbj934,1,504.0
pjxyqwbj095,1,588.0
pjxsqxbj843,1,462.0
pjxsqxbj986,1,513.0
pjxqzxbj979,1,284.0
pjxyqwbj857,1,471.0
pjxyqxbk501,1,475.0
pjxyqxbl937,1,560.0
pjwrqxbj935,1,524.0
pjxyqxbk160,1,559.0
pjxyqwbk708,1,521.0
pjxyqwbk895,1,581.0
pjxyqxbl930,1,530.0
pjxyqxbj781,1,433.0
pjxuqwbj898,1,464.0
pjxwzxfj994,1,312.0
pjxuqwbj770,1,480.0
pjxyqxbj100,1,385.0
pjxyqwbj884,1,512.0
pjvyzxbj997,1,506.0
pjxyqwbj888,1,473.0
pjxyqxbj754,1,356.0
pjxyqxbj961,1,466.0
pjxyqxbj769,1,0.0
pjxyqxbj788,1,490.0
pjxyqxbj957,1,514.0
pjxuqwbj974,1,353.0
pjxyqxbj753,1,435.0
pjxyqxbj737,1,461.0
pjxyqxbj756,1,406.0
pjxuzxbj997,1,399.0
pjxuqwbj903,1,526.0
pjxyqxbj777,1,492.0
pjxyqwbj883,1,432.0
pjxyqxbj784,1,555.0
pjxyqxbj984,1,340.0
pjxuqwbj890,1,488.0
pjxsqxbj893,1,526.0
pjxyqxbk852,1,577.0
pjxyqxbj459,1,475.0
pjwtqxbj974,1,551.0
pjxyqxbj980,1,529.0
pjxyqxbj813,1,497.0
pjxyqwbj706,1,536.0
pjxrqxbj988,1,528.0
pjxyqxbj812,1,425.0
pjxwzxbj998,1,408.0
pjwrqxbj890,1,600.0
pjxyqxbk369,1,582.0
pjxyqxbk368,1,493.0
pjxyqwbj018,1,587.0
pjxyqxbk505,1,609.0
pjxyqwbj116,1,482.0
pjxyqxbk506,1,573.0
pjxyqxbk503,1,0.0
pjwtqxbj993,1,539.0
pjxwxxbj943,1,490.0
pjxyqwbj090,1,519.0
pjxyqwbj089,1,515.0
pjxyqwbj088,1,481.0
pjwrqxbj984,1,478.0
pjxsqxbj997,1,579.0
pjxyqxbk489,1,483.0
pjxyqxbk495,1,423.0
pjxyqxbk460,1,473.0
pjwrqxbj998,1,506.0
pjxyqwbj112,1,502.0
pjxpqxbj927,1,458.0
pjxsqxbj998,1,461.0
pjxsqxbj885,1,534.0
pjxyqwbj669,1,515.0
pjxqqxbj988,1,514.0
pjxyqxbk364,2,516.0
pjxuqwbj546,2,462.0
pjwrqxbj916,2,486.0
pjxuqwbj615,2,487.0
pjxyqwbj393,2,511.0
pjxyqxbk957,2,397.0
pjxxxxbj970,2,516.0
pjxyqxbk954,2,503.0
pjxyqwbj830,2,0.0
pjxyqxbj370,2,399.0
pjxyqwbj033,2,472.0
pjxxxxbj980,2,514.0
pjxyqxbk331,2,501.0
pjxyqxbk330,2,482.0
pjxyqxbk757,2,461.0
pjxsqxbj909,2,603.0
pjxyqxbj544,2,519.0
pjxwzxfj993,2,301.0
pjxyqxbj280,2,405.0
pjxyqxbk334,2,512.0
pjxsqxbj816,2,481.0
pjxyqwbj031,2,507.0
pjxyqxbk349,2,439.0
pjxyqwbj046,2,543.0
pjxyqxbk354,2,431.0
pjxyqwbj007,2,524.0
pjxyqxbk751,2,416.0
pjxyqxbk159,2,468.0
pjwrqxbj973,2,490.0
pjwtqxbj947,2,481.0
pjxtzxfj986,2,296.0
pjxyqwbj636,2,442.0
pjxsqxbj820,2,399.0
pjxyqxbj848,2,544.0
pjxtzxfj978,2,328.0
pjxyqxbk351,2,485.0
pjxyqwbj385,2,462.0
pjxyqxbk847,2,447.0
pjxyqxbk841,2,525.0
pjxyqxbk927,2,482.0
pjxsqxbj904,2,582.0
pjwtqxbj983,2,585.0
pjxuqwbj829,2,477.0
pjxxxxbj988,2,416.0
pjxsqxbj876,2,567.0
pjxyqxbk683,2,522.0
pjxyqwbj252,2,552.0
pjxyqwbj262,2,511.0
pjxyqwbj253,2,511.0
pjxyqxbk686,2,519.0
pjxuqwbj606,2,580.0
pjxxxxbj908,2,417.0
pjxyqxbk682,2,547.0
pjxyqwbj242,2,514.0
pjxyqxbk677,2,445.0
pjwrqxbj967,2,541.0
pjwtqxbj982,2,567.0
pjxsqxbj900,2,498.0
pjxqqxbj985,2,534.0
pjxyqxbk722,2,417.0
pjxyqwbj251,2,484.0
pjxyqxbk710,2,465.0
pjxyqxbj635,2,548.0
pjxyqwbj248,2,496.0
pjxyqxbk728,2,511.0
pjxyqxbk647,2,442.0
pjxyqxbk633,2,425.0
pjxyqwbj221,2,510.0
pjxyqxbj507,2,434.0
pjxtzxfj994,2,414.0
pjxyqwbj748,2,531.0
pjxxxxbj987,2,509.0
pjxxxxbj997,2,572.0
pjxyqwbk831,2,477.0
pjwrqxbj979,2,374.0
pjxyqxbj760,2,559.0
pjxyqxbj637,2,472.0
pjxrqxbj908,2,548.0
pjxyqwbj844,2,586.0
pjxyqwbj847,2,515.0
pjxyqwbj841,2,486.0
pjxyqxbj687,2,427.0
pjxyqwbj836,2,560.0
pjxyqxbk674,2,605.0
pjxyqxbj545,2,347.0
pjxyqwbj509,2,505.0
pjxyqwbj232,2,618.0
pjxuqwbj638,2,494.0
pjxyqwbj307,2,599.0
pjxyqxbj871,2,573.0
pjxyqxbj525,2,448.0
pjxyqwbj885,2,474.0
pjxyqxbj667,2,417.0
pjxyqxbj647,2,532.0
pjxyqwbj842,2,460.0
pjxyqxbj658,2,452.0
pjxyqxbj670,2,421.0
pjxyqxbk811,2,507.0
pjxrqxbj914,2,406.0
pjxyqxbk810,2,556.0
pjxqqxbj975,2,381.0
pjxyqxbk820,2,546.0
pjxuqwbj644,2,574.0
pjxuqwbj958,2,394.0
pjxyqwbj315,2,542.0
pjxyqwbj223,2,592.0
pjxyqxbk840,2,566.0
pjxxxxbj989,2,597.0
pjxyqwbj758,2,489.0
pjxyqwbj760,2,354.0
pjxyqwbj728,2,517.0
pjxyqxbj771,2,535.0
pjxyqxbj643,2,377.0
pjxyqxbj640,2,486.0
pjxyqwbj777,2,514.0
pjxyqxbj595,2,483.0
pjxyqxbk822,2,527.0
pjxyqxbk798,2,500.0
pjxyqxbk788,2,480.0
pjxyqxbk799,2,517.0
pjxuqwbj955,2,520.0
pjxyqxbj454,2,521.0
pjxyqwbj087,2,588.0
pjxxxxbj930,2,499.0
pjxxxxbj932,2,546.0
pjxyqwbj086,2,478.0
pjxyqwbj082,2,507.0
pjxtzxfj980,2,322.0
pjxyqxbk437,2,581.0
pjxyqxbk434,2,473.0
pjxyqxbk429,2,419.0
pjxuqwbj643,2,469.0
pjxyqwbj309,2,521.0
pjxyqwbj455,2,550.0
pjxyqwbj453,2,545.0
pjxyqxbj052,2,581.0
pjxyqxbk446,2,532.0
pjxyqwbj701,2,432.0
pjxyqxbk426,2,537.0
pjxxxxbj921,2,447.0
pjxwzxfj987,2,297.0
pjxxxxbj933,2,455.0
pjxxxxbj923,2,433.0
pjxxxxbj922,2,342.0
pjxyqxbj646,2,574.0
pjxyqwbj791,2,450.0
pjxyqxbj039,2,518.0
pjwtqxbj972,2,508.0
pjxyqwbj444,2,435.0
pjxyqxbj038,2,503.0
