IDSERTAL(学号),LOGINTIME(刷卡时间),LOGINADDRESS(刷卡地点),LOGINSIGN((标识（1出0进）)LOGINSIGN),DOORCTRLCODE((控制器编号)),DOORCODE((门数))
pjxuqwbj558,2024-04-03 08:35:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj558,2024-03-29 19:29:00,A校区-东南门-出入口-人行通道2,0,286,2
pjxuqwbj650,2024-03-15 09:30:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbk822,2024-03-22 14:32:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbk822,2024-03-22 15:58:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxuqwbj650,2024-03-20 12:01:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxuqwbj650,2024-03-17 12:17:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxuqwbj650,2024-03-26 09:35:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj519,2024-03-21 14:58:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj519,2024-03-21 16:51:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbl713,2024-03-28 21:51:00,B校区-西门-南2,0,484,1
pjxyqxbk158,2024-03-29 21:33:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj558,2024-03-27 20:16:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk555,2024-03-22 14:25:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk448,2024-03-30 07:17:00,B校区-西门-南2,0,484,1
pjxyqxbl713,2024-03-25 13:18:00,B校区-西门-南2,0,484,1
pjxyqxbk331,2024-03-21 13:38:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbk331,2024-03-21 13:38:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj043,2024-03-20 09:19:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbk331,2024-03-28 14:16:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbk911,2024-03-28 16:25:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbk905,2024-03-25 09:33:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxuqwbj760,2024-03-27 16:15:00,B校区-西门-南1,0,481,1
pjxyqxbk827,2024-03-28 22:49:00,B校区-西门-南2,0,484,1
pjxyqwbj877,2024-03-04 09:19:00,B校区-（宿舍区A）2号楼-2区323,0,426,1
pjxyqwbj877,2024-03-04 09:19:00,B校区-（宿舍区A）2号楼-2区323,0,426,1
pjxyqwbj877,2024-03-04 09:28:00,B校区-（宿舍区A）2号楼-2区323,0,426,1
pjxyqwbj877,2024-03-04 10:05:00,B校区-（宿舍区A）2号楼-2区323,0,426,1
pjxyqwbj877,2024-03-04 10:05:00,B校区-（宿舍区A）2号楼-2区323,0,426,1
pjxyqwbj877,2024-03-04 10:05:00,B校区-（宿舍区A）2号楼-2区323,0,426,1
pjxuqwbj906,2024-03-25 15:11:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk905,2024-03-20 09:11:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk827,2024-03-28 21:22:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbk827,2024-03-20 10:48:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj290,2024-03-27 17:35:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk905,2024-03-28 10:03:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk905,2024-03-27 16:46:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk827,2024-03-27 18:55:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk827,2024-03-28 11:03:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbl766,2024-03-21 14:13:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-21 14:27:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-27 13:43:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-23 13:57:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-22 20:58:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-23 00:25:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-29 14:43:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-28 11:14:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-28 11:39:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2024-03-22 15:09:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxuqwbj547,2024-03-17 09:25:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-03-17 09:42:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-03-17 09:57:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj945,2024-03-24 12:35:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj169,2024-03-28 16:44:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxuqwbj925,2024-03-28 09:44:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj169,2024-03-18 17:02:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj169,2024-03-18 18:01:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-03-22 13:48:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxuqwbj925,2024-03-22 17:11:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxuqwbj925,2024-03-22 17:11:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxuqwbj925,2024-03-22 17:11:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj945,2024-03-26 08:03:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj981,2024-03-21 13:26:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-03-21 13:48:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbl686,2024-03-27 09:09:00,B校区-北大门-出入口-行人通道,0,293,2
pjxyqxbk571,2024-03-27 10:04:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj945,2024-03-23 14:39:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-03-29 13:49:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-03-27 07:58:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqwbj621,2024-03-30 08:03:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjwtqxbj957,2024-03-23 16:38:00,A校区-东南门-出入口-人行通道2,0,286,1
pjwtqxbj957,2024-03-27 19:45:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxyqxbk555,2024-03-27 11:48:00,A校区-北大门-出入口-人行通道1,0,294,2
pjwtqxbj957,2024-03-30 22:24:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbk505,2024-03-09 19:13:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk505,2024-03-27 18:36:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbj131,2024-03-28 09:17:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj131,2024-03-21 13:54:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj131,2024-03-28 14:27:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbk680,2024-03-26 11:55:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbk155,2024-03-21 13:38:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbl866,2024-03-21 12:37:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-25 20:22:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-25 20:22:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-25 20:23:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbk505,2024-03-29 21:28:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk505,2024-03-28 19:32:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk505,2024-03-28 13:04:00,B校区-（宿舍区A）4号楼-1区423,0,394,1
pjxyqxbk827,2024-03-26 13:21:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl866,2024-03-25 20:23:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-26 19:34:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-16 20:50:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-26 10:12:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-15 15:25:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-22 12:15:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-22 12:32:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-22 14:42:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-22 14:42:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-23 11:47:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-23 13:19:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-23 14:25:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-23 14:34:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-17 13:45:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-26 09:14:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-26 09:35:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-29 22:08:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-18 17:53:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-29 12:27:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-29 13:57:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-31 19:40:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-04-01 16:31:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-09 15:04:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-09 15:05:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-09 15:49:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-25 15:54:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-25 16:23:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxyqxbl866,2024-03-22 22:18:00,B校区-（宿舍区A）3号楼-1区523,0,417,1
pjxuqwbj993,2024-03-09 18:18:00,B校区-西门-南1,0,481,1
pjxyqxbk827,2024-03-22 21:51:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbk680,2024-03-26 08:14:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj879,2024-03-21 11:42:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj879,2024-03-21 11:43:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxuqwbj654,2024-03-22 18:12:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxuqwbj654,2024-03-22 18:43:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxuqwbj654,2024-03-22 18:43:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxuqwbj654,2024-03-22 18:43:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbk905,2024-03-26 22:44:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbk827,2024-03-29 09:37:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk827,2024-03-29 11:00:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj755,2001-01-01 01:01:00,A校区-西南门-出入口-1学生,1,22,1
pjxuqwbj755,2001-01-01 01:01:00,A校区-西南门-出入口-1学生,1,22,1
pjxyqxbk528,2024-03-17 20:30:00,B校区-北大门-出入口-车通道,0,292,2
pjxuqwbj993,2024-03-25 16:03:00,B校区-东大门-出入口-南门人行通道,0,288,1
pjxyqxbk827,2024-03-26 19:09:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxuqwbj755,2001-01-01 01:01:00,A校区-西南门-出入口-1学生,0,22,1
pjxpqxbj967,2024-05-21 20:11:00,B校区-（宿舍区A）3号楼-2区222,0,404,1
pjxpqxbj967,2024-06-19 11:30:00,B校区-（宿舍区A）3号楼-2区222,0,404,1
pjxpqxbj967,2024-06-19 11:30:00,B校区-（宿舍区A）3号楼-2区222,0,404,1
pjxpqxbj967,2024-06-19 11:30:00,B校区-（宿舍区A）3号楼-2区222,0,404,1
pjxpqxbj967,2024-06-19 11:10:00,B校区-（宿舍区A）3号楼-2区222,0,404,1
pjxuzvbj996,2024-01-22 19:49:00,B校区-（宿舍区A）2号楼-2区323,0,426,1
pjxuqwbj574,2024-07-09 15:05:00,A校区-主楼-通院1区413,0,451,1
pjxuqwbj574,2024-07-09 15:40:00,A校区-主楼-通院1区413,0,451,1
pjxuqwbj574,2024-07-17 09:46:00,A校区-主楼-通院1区413,0,451,1
pjxpqxbj992,2024-08-21 20:05:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxpqxbj992,2024-08-21 20:05:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxpqxbj992,2024-08-28 12:39:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxpqxbj992,2024-08-28 12:39:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbk733,2024-08-17 12:24:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk733,2024-08-28 07:23:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj544,2024-08-30 14:09:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj544,2024-08-21 15:34:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk105,2024-08-17 08:57:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk368,2024-08-21 18:09:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxpqxbj992,2024-08-19 12:43:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxpqxbj992,2024-08-19 13:12:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxuqwbj694,2024-08-19 06:28:00,B校区-北大门-出入口-车通道,0,292,1
pjxuqwbj694,2024-09-04 06:26:00,B校区-东大门-出入口-北门车辆通道,0,291,1
pjxyqxbk105,2024-08-19 08:45:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj573,2024-08-23 23:49:00,B校区-西门-南1,0,481,1
pjxyqxbk105,2024-08-19 15:08:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj635,2024-08-30 20:08:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk746,2024-08-17 17:39:00,B校区-东大门-出入口-南门人行通道,0,288,1
pjxyqxbk746,2024-08-18 17:25:00,B校区-东大门-出入口-南门人行通道,0,288,1
pjxyqxbk746,2024-08-30 18:23:00,B校区-东大门-出入口-南门人行通道,0,288,1
pjxyqxbj910,2024-08-29 08:37:00,B校区-东大门-出入口-南门人行通道,0,288,1
pjxyqxbj024,2024-08-24 22:38:00,B校区-西门-南1,0,481,1
pjxyqwbj663,2024-08-02 20:36:00,B校区-西门-南1,0,481,1
pjxyqwbj663,2024-08-02 20:36:00,B校区-西门-南1,0,481,1
pjxyqwbj221,2024-08-29 14:18:00,B校区-北大门-出入口-行人通道,0,293,2
pjxyqwbj221,2024-08-29 14:18:00,B校区-北大门-出入口-行人通道,0,293,2
pjxyqwbj221,2024-08-29 14:18:00,B校区-北大门-出入口-行人通道,0,293,1
pjxuqwbj755,2024-09-02 15:45:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj557,2024-08-26 09:18:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj755,2024-08-26 10:56:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbl876,2024-08-19 15:05:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxxxxbj917,2024-08-19 09:02:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxxxxbj917,2024-08-27 15:21:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbl984,2024-08-17 13:59:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbl984,2024-09-08 15:02:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbj688,2024-09-01 10:11:00,B校区-北大门-出入口-行人通道,0,293,1
pjxyqxbk140,2024-08-24 23:56:00,B校区-西门-南1,0,481,1
pjxuqwbj496,2024-08-30 14:15:00,B校区-东大门-出入口-北门车辆通道,0,291,1
pjxuqwbj694,2024-08-25 06:32:00,B校区-东大门-出入口-北门车辆通道,0,291,1
pjxuqwbj694,2024-08-31 06:38:00,B校区-东大门-出入口-北门车辆通道,0,291,1
pjxuqwbj694,2024-09-02 06:23:00,B校区-东大门-出入口-北门车辆通道,0,291,1
pjxyqxbk733,2024-08-29 08:50:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbj791,2024-09-01 18:59:00,B校区-西门-南1,0,481,1
pjxyqxbk733,2024-08-27 08:02:00,A校区-东南门-出入口-人行通道2,0,286,1
pjwrqxbj988,2024-08-30 16:49:00,B校区-西门-南1,0,481,1
pjwrqxbj988,2024-09-03 20:40:00,B校区-西门-南1,0,481,1
pjxyqwbk962,2024-08-31 09:02:00,B校区-西门-南2,0,484,1
pjxyqxbk733,2024-08-26 17:18:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxsqxbj811,2024-09-02 00:12:00,B校区-西门-南2,0,484,1
pjxyqwbk859,2024-08-17 11:29:00,B校区-西门-南2,0,484,1
pjxsqxbj936,2024-08-17 13:27:00,B校区-北大门-出入口-车通道,0,292,1
pjxsqxbj936,2024-08-19 08:55:00,B校区-北大门-出入口-车通道,0,292,1
pjxyqwbk859,2024-09-01 10:05:00,B校区-西门-南2,0,484,1
pjxyqwbj221,2024-08-30 16:01:00,B校区-西门-南2,0,484,1
pjxyqxbl905,2024-06-19 15:01:00,B校区-（宿舍区A）4号楼-1区222,0,414,1
pjxyqxbl905,2024-06-28 12:56:00,B校区-（宿舍区A）3号楼-I楼右101,0,453,1
pjxyqxbl905,2024-06-28 12:57:00,B校区-（宿舍区A）3号楼-1楼右105,0,401,1
pjxyqxbk339,2024-04-11 13:51:00,B校区-（宿舍区A）3号楼-1区323,0,385,1
pjxyqxbk286,2024-08-31 09:17:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbk810,2024-08-19 10:11:00,B校区-西门-南1,0,481,1
pjxyqxbj857,2024-08-26 18:16:00,B校区-西门-南1,0,481,1
pjxuqwbj694,2024-08-31 06:39:00,B校区-行政楼,0,16,1
pjxyqxbj857,2024-09-21 21:33:00,B校区-西门-南1,0,481,1
pjxyqxbj857,2024-09-22 13:05:00,B校区-西门-南1,0,481,1
pjxyqwbj452,2024-09-25 16:36:00,B校区-北大门-出入口-车通道,0,292,1
pjxyqxbj271,2024-09-18 07:20:00,B校区-西门-南1,1,481,1
pjxyqwbk953,2024-09-16 14:34:00,B校区-西门-南1,0,481,1
pjxuqwbj694,2024-09-20 06:32:00,B校区-东大门-出入口-北门车辆通道,0,291,1
pjxyqxbj729,2024-09-16 17:29:00,B校区-西门-南1,0,481,1
pjxyqxbj729,2024-09-29 17:25:00,B校区-西门-南1,0,481,1
pjxyqxbj791,2024-09-29 20:19:00,B校区-西门-南1,0,481,1
pjxyqxbl905,2024-06-13 18:42:00,B校区-（宿舍区A）3号楼-2区222,0,404,1
pjxyqxbl876,2024-08-29 09:28:00,A校区-主楼-通院1区413,0,451,1
pjxyqwbj027,2024-09-30 14:08:00,B校区-西门-南1,0,481,1
pjxyqwbj027,2024-09-30 14:08:00,B校区-西门-南1,0,481,1
pjxuqwbj694,2024-09-18 17:45:00,B校区-西门-南1,0,481,1
pjxyqxbj119,2024-09-16 17:34:00,B校区-北大门-出入口-行人通道,0,293,1
pjxyqxbj857,2024-09-20 21:14:00,B校区-西门-南1,0,481,1
pjxyqxbj857,2024-09-20 21:14:00,B校区-西门-南1,0,481,1
pjxyqxbj857,2024-09-24 17:39:00,B校区-西门-南1,0,481,1
pjxyqxbk338,2024-09-20 12:04:00,B校区-西门-南1,0,481,1
pjxyqwbk962,2024-09-23 09:33:00,B校区-西门-南1,0,481,1
pjxyqxbl876,2024-08-29 09:29:00,A校区-主楼-通院1区413,0,451,1
pjxyqwbk962,2024-09-25 11:18:00,B校区-西门-南1,0,481,1
pjxyqwbj986,2024-09-27 21:46:00,B校区-西门-南1,0,481,1
pjxyqxbl964,2025-03-19 09:57:00,B校区-西北门-出口-地铁口门禁1,0,440,1
pjxyqwbj741,2025-02-16 12:58:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj570,2025-03-13 21:52:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbj791,2024-12-23 11:12:00,B校区-西门-出口-地铁口门禁2-新开普,0,515,2
pjxyqwbj791,2024-12-27 13:38:00,B校区-西门-出口-地铁口门禁2-新开普,0,515,1
pjxyqwbj525,2025-03-04 12:27:00,B校区-西门-出口-地铁口门禁2-新开普,0,515,2
pjxyqwbj525,2025-03-07 13:50:00,B校区-西门-出口-地铁口门禁2-新开普,0,515,2
pjxyqwbj452,2024-04-21 12:19:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxyqxbj084,2024-04-22 23:27:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxuqwbj786,2024-04-22 23:48:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxyqxbk957,2024-04-23 20:15:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxyqwbk962,2024-12-09 11:43:00,B校区-西门-南1,1,481,1
pjxuqwbj507,2024-04-24 12:59:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxuqwbj786,2024-04-25 07:16:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxyqxbj857,2024-12-07 12:46:00,B校区-西门-南1,0,481,1
pjxrqxbj947,2024-04-13 19:11:00,B校区-西北门-出口-地铁口门禁1,0,440,1
pjxyqxbk338,2024-04-14 14:24:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxyqxbk338,2024-04-18 17:35:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxyqxbk338,2024-04-20 15:38:00,B校区-西北门-出口-地铁口门禁1,0,440,2
pjxyqxbj314,2024-11-28 16:59:00,B校区-北大门-出入口-车通道,0,292,2
pjxyqxbj314,2024-11-28 17:00:00,B校区-北大门-出入口-车通道,0,292,1
pjxyqxbj857,2024-04-16 16:22:00,B校区-西北门-出口-地铁口门禁1,0,440,1
pjxyqwbj277,2024-04-11 17:57:00,B校区-西北门-出口-地铁口门禁1,0,440,1
pjxyqwbk962,2024-12-06 11:37:00,B校区-北大门-出入口-车通道,0,292,1
pjxyqwbk962,2024-12-06 12:16:00,B校区-北大门-出入口-车通道,0,292,2
pjxyqxbk338,2024-11-25 13:25:00,B校区-西门-南1,0,481,1
pjxyqxbk338,2024-12-08 12:55:00,B校区-西门-南1,0,481,1
pjxyqxbk338,2024-12-10 12:53:00,B校区-西门-南1,1,481,1
pjxuqwbj694,2024-12-11 06:53:00,B校区-工训中心电院西门,0,413,1
pjxyqxbk338,2024-12-06 17:55:00,B校区-西门-南1,0,481,1
pjxyqxbk338,2024-12-05 11:43:00,B校区-西门-南1,0,481,1
pjxyqxbj857,2024-11-29 20:36:00,B校区-西门-南1,0,481,1
pjxyqxbk338,2024-12-11 12:11:00,B校区-北大门-出入口-车通道,0,292,1
pjxyqxbk338,2024-11-26 12:34:00,B校区-北大门-出入口-车通道,0,292,1
pjxyqwbk962,2024-12-05 11:34:00,B校区-西门-南1,0,481,1
pjxyqwbk866,2024-11-24 19:21:00,B校区-西门-南1,0,481,1
pjxyqwbk962,2024-11-25 10:10:00,B校区-西门-南1,0,481,1
pjxyqxbj024,2024-04-19 22:51:00,B校区-西北门-出口-地铁口门禁1,0,440,1
pjxxztbj990,2024-12-06 15:49:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxxztbj990,2024-12-06 16:02:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj500,2025-10-18 10:56:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbl984,2025-10-07 13:58:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk683,2025-10-08 23:12:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk683,2025-10-13 05:41:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqwbk583,2025-10-18 09:10:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk683,2025-10-12 13:05:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj500,2025-10-18 10:18:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk683,2025-10-17 16:48:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk683,2025-10-05 16:56:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbk683,2025-10-05 18:54:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbk683,2025-10-19 05:32:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqwbk583,2025-10-11 20:23:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqwbk583,2025-10-15 14:42:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbk583,2025-10-17 15:26:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbk583,2025-10-17 15:26:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbk583,2025-10-17 15:26:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbk583,2025-10-11 20:18:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxxzxkj979,2025-10-18 19:41:00,B校区-西北门-出口-地铁口门禁1,0,440,1
pjxyqxbk683,2025-10-21 16:47:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqwbk583,2025-10-16 12:32:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk683,2025-09-29 18:47:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbk683,2025-10-30 05:36:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbk683,2025-10-30 05:36:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqxbk683,2025-10-18 05:28:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxuqwbj755,2024-01-01 20:14:00,A校区-西南门-出口-2学生,0,439,1
pjxuqwbj755,2024-01-01 20:14:00,A校区-西南门-出口-2学生,0,439,1
pjxyqxbj945,2023-12-25 08:29:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj779,2023-12-27 16:08:00,B校区-（宿舍区A）4号楼-2区323,0,402,1
pjxuqwbj731,2024-01-05 18:06:00,A校区-西南门-出入口-车辆通道,0,24,1
